"",BBFB1.Q.N.DE.PT.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:29,
1991-01,36.284,
1991-04,45.999,
1991-07,27.912,
1991-10,56.960,
1992-01,17.259,
1992-04,38.953,
1992-07,37.909,
1992-10,31.158,
1993-01,14.904,
1993-04,51.817,
1993-07,142.297,
1993-10,30.676,
1994-01,13.633,
1994-04,10.385,
1994-07,1.089,
1994-10,193.515,
1995-01,9.135,
1995-04,4.452,
1995-07,-14.797,
1995-10,74.944,
1996-01,14.223,
1996-04,137.703,
1996-07,92.600,
1996-10,-15.570,
1997-01,230.526,
1997-04,144.666,
1997-07,92.059,
1997-10,-2.303,
1998-01,339.731,
1998-04,-41.090,
1998-07,192.552,
1998-10,-49.376,
1999-01,270.629,
1999-04,20.410,
1999-07,150.467,
1999-10,55.322,
2000-01,109.156,
2000-04,812.674,
2000-07,32.408,
2000-10,32.770,
2001-01,35.554,
2001-04,-87.968,
2001-07,74.634,
2001-10,1.167,
2002-01,-81.023,
2002-04,4.548,
2002-07,50.929,
2002-10,-47.203,
2003-01,-73.985,
2003-04,-135.479,
2003-07,-194.455,
2003-10,-207.700,
2004-01,245.164,
2004-04,-74.953,
2004-07,177.121,
2004-10,705.322,
2005-01,236.223,
2005-04,24.012,
2005-07,81.684,
2005-10,-59.207,
2006-01,7.044,
2006-04,-74.578,
2006-07,340.585,
2006-10,-300.436,
2007-01,-138.026,
2007-04,-226.042,
2007-07,-17.974,
2007-10,-582.215,
2008-01,270.895,
2008-04,-335.155,
2008-07,-6.961,
2008-10,-60.912,
2009-01,19.871,
2009-04,93.254,
2009-07,129.683,
2009-10,210.805,
2010-01,113.981,
2010-04,-32.342,
2010-07,26.934,
2010-10,12.595,
2011-01,80.958,
2011-04,-4.937,
2011-07,-2.334,
2011-10,-71.342,
2012-01,45.872,
2012-04,261.714,
2012-07,51.417,
2012-10,11.383,
2013-01,147.257,
2013-04,66.588,
2013-07,-36.292,
2013-10,-48.502,
2014-01,92.614,Provisional value
2014-04,74.498,Provisional value
2014-07,26.941,Provisional value
2014-10,98.101,Provisional value
