"",BBNZ1.Q.DE.N.I.0155.A,BBNZ1.Q.DE.N.I.0155.A_FLAGS
"",Germany / National accounts / Use of GDP / Premises / Price index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:39,
1991-01,72.74,
1991-04,74.89,
1991-07,75.74,
1991-10,76.54,
1992-01,77.96,
1992-04,79.41,
1992-07,80.38,
1992-10,80.64,
1993-01,81.84,
1993-04,82.86,
1993-07,83.17,
1993-10,83.24,
1994-01,83.62,
1994-04,84.34,
1994-07,84.64,
1994-10,84.95,
1995-01,85.63,
1995-04,86.38,
1995-07,86.37,
1995-10,86.24,
1996-01,86.15,
1996-04,85.89,
1996-07,85.69,
1996-10,85.30,
1997-01,86.13,
1997-04,85.80,
1997-07,85.68,
1997-10,85.35,
1998-01,85.63,
1998-04,85.72,
1998-07,85.59,
1998-10,85.35,
1999-01,85.33,
1999-04,84.87,
1999-07,85.00,
1999-10,85.09,
2000-01,85.46,
2000-04,85.53,
2000-07,85.56,
2000-10,85.60,
2001-01,85.70,
2001-04,85.59,
2001-07,85.51,
2001-10,85.24,
2002-01,85.31,
2002-04,85.30,
2002-07,85.29,
2002-10,85.15,
2003-01,85.37,
2003-04,85.28,
2003-07,85.25,
2003-10,85.24,
2004-01,85.59,
2004-04,86.40,
2004-07,86.77,
2004-10,86.90,
2005-01,87.28,
2005-04,87.13,
2005-07,87.22,
2005-10,87.39,
2006-01,87.79,
2006-04,88.39,
2006-07,89.59,
2006-10,90.37,
2007-01,93.38,
2007-04,94.01,
2007-07,94.53,
2007-10,94.99,
2008-01,96.09,
2008-04,96.99,
2008-07,98.20,
2008-10,98.19,
2009-01,98.68,
2009-04,98.35,
2009-07,98.44,
2009-10,99.27,
2010-01,99.11,
2010-04,99.83,
2010-07,100.25,
2010-10,100.62,
2011-01,101.98,
2011-04,102.74,
2011-07,103.34,
2011-10,103.91,
2012-01,105.20,
2012-04,105.71,
2012-07,106.20,
2012-10,106.43,
2013-01,107.33,
2013-04,107.85,
2013-07,108.24,
2013-10,108.52,
2014-01,109.13,
2014-04,109.41,
2014-07,109.86,
2014-10,110.02,
