"",BBK01.OEAF36V,BBK01.OEAF36V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:41,
2002-01,1.557,
2002-04,1.652,
2002-07,1.651,
2002-10,1.741,
2003-01,1.805,
2003-04,1.595,
2003-07,1.366,
2003-10,1.435,
2004-01,1.367,
2004-04,1.419,
2004-07,1.459,
2004-10,1.512,
2005-01,1.686,
2005-04,1.709,
2005-07,1.881,
2005-10,1.890,
2006-01,1.933,
2006-04,1.992,
2006-07,2.043,
2006-10,2.198,
2007-01,2.123,
2007-04,2.175,
2007-07,2.235,
2007-10,2.176,
2008-01,2.231,
2008-04,2.189,
2008-07,2.221,
2008-10,2.352,
2009-01,2.380,
2009-04,2.412,
2009-07,2.358,
2009-10,2.386,
2010-01,2.273,
2010-04,2.397,
2010-07,2.458,
2010-10,2.427,
2011-01,2.440,
2011-04,2.367,
2011-07,2.426,
2011-10,2.424,
2012-01,2.419,
2012-04,2.382,
2012-07,2.328,
2012-10,2.251,
2013-01,2.275,
2013-04,2.278,
2013-07,2.290,
2013-10,2.278,
2014-01,2.287,
2014-04,2.510,
2014-07,2.522,
