"",BBK01.OEAH13Q,BBK01.OEAH13Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:02,
2002-01,3.444,
2002-04,3.403,
2002-07,3.565,
2002-10,3.523,
2003-01,3.292,
2003-04,3.175,
2003-07,3.174,
2003-10,3.136,
2004-01,3.045,
2004-04,2.946,
2004-07,2.928,
2004-10,2.807,
2005-01,2.898,
2005-04,2.859,
2005-07,2.650,
2005-10,2.351,
2006-01,2.299,
2006-04,2.247,
2006-07,2.271,
2006-10,2.342,
2007-01,2.493,
2007-04,2.657,
2007-07,2.613,
2007-10,2.823,
2008-01,2.857,
2008-04,2.936,
2008-07,3.042,
2008-10,3.478,
2009-01,3.342,
2009-04,3.186,
2009-07,3.111,
2009-10,2.835,
2010-01,2.640,
2010-04,2.692,
2010-07,2.561,
2010-10,2.570,
2011-01,2.570,
2011-04,2.618,
2011-07,2.582,
2011-10,2.624,
2012-01,2.637,
2012-04,2.615,
2012-07,2.567,
2012-10,2.297,
2013-01,2.057,
2013-04,1.870,
2013-07,1.706,
2013-10,1.679,
2014-01,1.648,
2014-04,1.661,
2014-07,1.768,
