"",BBK01.CEH7X0,BBK01.CEH7X0_FLAGS
"",Other liabilities  debtor: Other financial intermediaries                  creditor:  All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:11,
1991-01,3.9,
1991-04,-2.2,
1991-07,-2.9,
1991-10,-0.8,
1992-01,2.8,
1992-04,-2.9,
1992-07,-2.2,
1992-10,-2.8,
1993-01,5.1,
1993-04,-2.4,
1993-07,1.2,
1993-10,-0.3,
1994-01,-0.4,
1994-04,-0.3,
1994-07,1.7,
1994-10,-4.7,
1995-01,0.0,
1995-04,-2.4,
1995-07,2.3,
1995-10,-5.1,
1996-01,8.4,
1996-04,2.5,
1996-07,0.8,
1996-10,-5.8,
1997-01,12.9,
1997-04,-4.2,
1997-07,-5.3,
1997-10,-7.2,
1998-01,16.5,
1998-04,-6.7,
1998-07,-2.0,
1998-10,-8.3,
1999-01,-15.3,
1999-04,8.5,
1999-07,-7.7,
1999-10,-4.9,
2000-01,-1.1,
2000-04,1.1,
2000-07,-13.0,
2000-10,-52.4,
2001-01,21.4,
2001-04,-2.5,
2001-07,-31.2,
2001-10,1.7,
2002-01,7.2,
2002-04,-22.3,
2002-07,7.5,
2002-10,-23.4,
2003-01,7.4,
2003-04,5.9,
2003-07,-7.2,
2003-10,4.6,
2004-01,37.5,
2004-04,2.9,
2004-07,6.9,
2004-10,-5.5,
2005-01,31.2,
2005-04,-12.3,
2005-07,4.5,
2005-10,-21.1,
2006-01,22.6,
2006-04,12.6,
2006-07,10.3,
2006-10,-12.5,
2007-01,12.6,
2007-04,9.1,
2007-07,-36.2,
2007-10,22.1,
2008-01,26.4,
2008-04,-13.6,
2008-07,-8.2,
2008-10,-52.1,
2009-01,21.8,
2009-04,-18.6,
2009-07,-8.2,
2009-10,3.5,
2010-01,3.1,
2010-04,40.2,
2010-07,-11.7,
2010-10,-39.4,
2011-01,-17.2,
2011-04,-4.9,
2011-07,0.3,
2011-10,-36.4,
2012-01,-9.9,
2012-04,2.3,
2012-07,27.8,
2012-10,-36.8,
2013-01,11.9,
2013-04,13.3,
2013-07,-21.6,
2013-10,1.9,
2014-01,22.2,
