"",BBK01.OELB12U,BBK01.OELB12U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:45,
2002-01,0.389,
2002-04,0.387,
2002-07,0.394,
2002-10,0.396,
2003-01,0.387,
2003-04,0.390,
2003-07,0.395,
2003-10,0.394,
2004-01,0.387,
2004-04,0.386,
2004-07,0.384,
2004-10,0.376,
2005-01,0.374,
2005-04,0.360,
2005-07,0.358,
2005-10,0.363,
2006-01,0.361,
2006-04,0.360,
2006-07,0.383,
2006-10,0.395,
2007-01,0.399,
2007-04,0.399,
2007-07,0.407,
2007-10,0.422,
2008-01,0.420,
2008-04,0.420,
2008-07,0.418,
2008-10,0.423,
2009-01,0.426,
2009-04,0.436,
2009-07,0.443,
2009-10,0.460,
2010-01,0.456,
2010-04,0.567,
2010-07,0.577,
2010-10,0.604,
2011-01,0.615,
2011-04,0.634,
2011-07,0.653,
2011-10,0.673,
2012-01,0.681,
2012-04,0.712,
2012-07,0.739,
2012-10,0.769,
2013-01,0.760,
2013-04,0.773,
2013-07,0.791,
2013-10,0.844,
2014-01,0.854,
2014-04,0.880,
2014-07,0.928,
