"",BBK01.OEHK02T,BBK01.OEHK02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:34,
2002-01,0.336,
2002-04,0.345,
2002-07,0.373,
2002-10,0.396,
2003-01,0.371,
2003-04,0.373,
2003-07,0.394,
2003-10,0.422,
2004-01,0.398,
2004-04,0.400,
2004-07,0.407,
2004-10,0.433,
2005-01,0.405,
2005-04,0.411,
2005-07,0.430,
2005-10,0.450,
2006-01,0.402,
2006-04,0.418,
2006-07,0.443,
2006-10,0.474,
2007-01,0.440,
2007-04,0.445,
2007-07,0.444,
2007-10,0.501,
2008-01,0.427,
2008-04,0.434,
2008-07,0.445,
2008-10,0.511,
2009-01,0.475,
2009-04,0.517,
2009-07,0.535,
2009-10,0.586,
2010-01,0.553,
2010-04,0.560,
2010-07,0.588,
2010-10,0.625,
2011-01,0.590,
2011-04,0.591,
2011-07,0.615,
2011-10,0.642,
2012-01,0.614,
2012-04,0.626,
2012-07,0.672,
2012-10,0.691,
2013-01,0.659,
2013-04,0.665,
2013-07,0.714,
2013-10,0.759,
2014-01,0.739,
2014-04,0.752,
2014-07,0.796,
