"",BBFB1.Q.N.DE.JP.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:10,
1991-01,368.846,
1991-04,282.472,
1991-07,377.838,
1991-10,355.550,
1992-01,372.471,
1992-04,300.929,
1992-07,413.427,
1992-10,396.214,
1993-01,357.806,
1993-04,251.621,
1993-07,448.206,
1993-10,372.251,
1994-01,453.566,
1994-04,286.953,
1994-07,460.104,
1994-10,409.901,
1995-01,417.419,
1995-04,295.668,
1995-07,494.070,
1995-10,446.269,
1996-01,410.954,
1996-04,305.602,
1996-07,484.865,
1996-10,475.102,
1997-01,384.306,
1997-04,352.220,
1997-07,404.279,
1997-10,420.994,
1998-01,425.117,
1998-04,380.329,
1998-07,434.112,
1998-10,463.273,
1999-01,390.047,
1999-04,394.319,
1999-07,465.662,
1999-10,648.011,
2000-01,591.963,
2000-04,461.046,
2000-07,606.857,
2000-10,653.669,
2001-01,658.913,
2001-04,553.889,
2001-07,586.345,
2001-10,616.747,
2002-01,575.385,
2002-04,554.694,
2002-07,573.811,
2002-10,606.665,
2003-01,528.688,
2003-04,519.397,
2003-07,502.538,
2003-10,577.061,
2004-01,577.456,
2004-04,659.956,
2004-07,550.880,
2004-10,623.498,
2005-01,682.691,
2005-04,693.072,
2005-07,697.729,
2005-10,854.703,
2006-01,835.291,
2006-04,725.551,
2006-07,733.508,
2006-10,969.698,
2007-01,801.801,
2007-04,696.764,
2007-07,762.845,
2007-10,908.255,
2008-01,913.716,
2008-04,807.420,
2008-07,787.039,
2008-10,848.273,
2009-01,707.385,
2009-04,594.179,
2009-07,684.949,
2009-10,708.872,
2010-01,788.055,
2010-04,871.322,
2010-07,912.105,
2010-10,984.348,
2011-01,819.853,
2011-04,771.061,
2011-07,789.781,
2011-10,1107.196,
2012-01,941.594,
2012-04,964.416,
2012-07,951.217,
2012-10,961.176,
2013-01,900.076,
2013-04,839.060,
2013-07,821.443,
2013-10,984.648,
2014-01,959.308,Provisional value
2014-04,893.462,Provisional value
2014-07,911.923,Provisional value
