"",BBDE1.Q.DE.Y.LCC1.A2P001000.A.L.I08.A1,BBDE1.Q.DE.Y.LCC1.A2P001000.A.L.I08.A1_FLAGS
"",Index of non-wage costs / Germany / Production sector including construction (B -F) / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:21,
1996-01,81.226,
1996-04,79.275,
1996-07,81.448,
1996-10,83.412,
1997-01,84.243,
1997-04,81.230,
1997-07,82.771,
1997-10,83.705,
1998-01,82.432,
1998-04,83.232,
1998-07,84.049,
1998-10,85.446,
1999-01,84.173,
1999-04,84.563,
1999-07,84.118,
1999-10,84.823,
2000-01,90.723,
2000-04,91.803,
2000-07,93.207,
2000-10,94.811,
2001-01,94.827,
2001-04,96.201,
2001-07,96.448,
2001-10,96.466,
2002-01,99.594,
2002-04,97.254,
2002-07,98.430,
2002-10,97.957,
2003-01,100.859,
2003-04,101.453,
2003-07,101.384,
2003-10,100.747,
2004-01,101.636,
2004-04,102.265,
2004-07,101.275,
2004-10,100.134,
2005-01,101.137,
2005-04,99.301,
2005-07,97.673,
2005-10,98.745,
2006-01,104.035,
2006-04,103.109,
2006-07,104.151,
2006-10,104.361,
2007-01,98.375,
2007-04,98.560,
2007-07,97.844,
2007-10,98.451,
2008-01,99.064,
2008-04,97.114,
2008-07,100.061,
2008-10,103.762,
2009-01,102.853,
2009-04,103.361,
2009-07,103.204,
2009-10,102.344,
2010-01,104.350,
2010-04,103.945,
2010-07,104.327,
2010-10,104.434,
2011-01,107.914,
2011-04,108.567,
2011-07,107.296,
2011-10,108.654,
2012-01,107.029,
2012-04,109.295,
2012-07,109.380,
2012-10,110.192,
2013-01,117.502,
2013-04,112.882,
2013-07,112.434,
2013-10,114.737,
2014-01,114.768,
2014-04,117.093,
2014-07,115.861,
