"",BBK01.OEBB11V,BBK01.OEBB11V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:13,
2002-01,0.581,
2002-04,0.621,
2002-07,0.612,
2002-10,0.647,
2003-01,0.652,
2003-04,0.639,
2003-07,0.659,
2003-10,0.688,
2004-01,0.643,
2004-04,0.636,
2004-07,0.635,
2004-10,0.505,
2005-01,0.527,
2005-04,0.531,
2005-07,0.468,
2005-10,0.466,
2006-01,0.466,
2006-04,0.493,
2006-07,0.517,
2006-10,0.591,
2007-01,0.602,
2007-04,0.607,
2007-07,0.591,
2007-10,0.604,
2008-01,0.674,
2008-04,0.715,
2008-07,0.750,
2008-10,0.712,
2009-01,0.708,
2009-04,0.779,
2009-07,0.745,
2009-10,0.802,
2010-01,0.720,
2010-04,0.703,
2010-07,0.632,
2010-10,0.610,
2011-01,0.611,
2011-04,0.599,
2011-07,0.598,
2011-10,0.614,
2012-01,0.592,
2012-04,0.557,
2012-07,0.555,
2012-10,0.567,
2013-01,0.571,
2013-04,0.579,
2013-07,0.542,
2013-10,0.562,
2014-01,0.550,
2014-04,0.535,
2014-07,0.515,
