"",BBFB1.Q.N.DE.PT.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:30,
1991-01,18.336,
1991-04,20.839,
1991-07,20.839,
1991-10,20.839,
1992-01,-0.422,
1992-04,-0.422,
1992-07,-0.422,
1992-10,-1.086,
1993-01,3.977,
1993-04,19.316,
1993-07,18.414,
1993-10,19.285,
1994-01,-12.655,
1994-04,-20.250,
1994-07,-11.045,
1994-10,-11.045,
1995-01,-9.087,
1995-04,-9.087,
1995-07,-9.087,
1995-10,-9.087,
1996-01,8.547,
1996-04,8.547,
1996-07,8.547,
1996-10,8.397,
1997-01,37.580,
1997-04,37.580,
1997-07,37.580,
1997-10,37.580,
1998-01,12.783,
1998-04,12.783,
1998-07,12.781,
1998-10,5.580,
1999-01,87.000,
1999-04,89.000,
1999-07,90.000,
1999-10,90.000,
2000-01,48.000,
2000-04,47.940,
2000-07,49.000,
2000-10,48.000,
2001-01,-31.696,
2001-04,-43.218,
2001-07,-131.041,
2001-10,-72.696,
2002-01,-52.259,
2002-04,-27.475,
2002-07,21.616,
2002-10,-105.809,
2003-01,-32.744,
2003-04,-24.676,
2003-07,45.776,
2003-10,27.434,
2004-01,110.162,
2004-04,-51.371,
2004-07,111.294,
2004-10,71.893,
2005-01,60.474,
2005-04,-99.637,
2005-07,-5.083,
2005-10,44.245,
2006-01,10.834,
2006-04,40.727,
2006-07,107.102,
2006-10,109.135,
2007-01,116.476,
2007-04,-52.683,
2007-07,98.932,
2007-10,-75.663,
2008-01,57.556,
2008-04,-168.574,
2008-07,-112.408,
2008-10,13.266,
2009-01,55.238,
2009-04,-134.721,
2009-07,58.652,
2009-10,-22.932,
2010-01,46.092,
2010-04,-68.070,
2010-07,-23.883,
2010-10,-1.070,
2011-01,50.881,
2011-04,-70.692,
2011-07,51.021,
2011-10,28.328,
2012-01,52.120,
2012-04,-49.901,
2012-07,42.035,
2012-10,22.128,
2013-01,44.010,
2013-04,27.416,
2013-07,38.336,
2013-10,11.187,
2014-01,40.217,Provisional value
2014-04,19.949,Provisional value
2014-07,39.789,Provisional value
2014-10,31.395,Provisional value
