"",BBFB1.Q.N.DE.R5.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:47,
1991-01,-621.771,
1991-04,-1887.846,
1991-07,405.330,
1991-10,-90.674,
1992-01,-114.925,
1992-04,-447.590,
1992-07,-15.439,
1992-10,-426.419,
1993-01,-215.814,
1993-04,-43.261,
1993-07,-289.355,
1993-10,-819.863,
1994-01,596.238,
1994-04,-305.902,
1994-07,-77.027,
1994-10,-178.503,
1995-01,2897.076,
1995-04,-131.369,
1995-07,84.637,
1995-10,-442.022,
1996-01,1188.286,
1996-04,-365.567,
1996-07,-1175.472,
1996-10,221.071,
1997-01,103.803,
1997-04,77.227,
1997-07,-250.972,
1997-10,28.134,
1998-01,331.228,
1998-04,-671.936,
1998-07,1548.320,
1998-10,-612.948,
1999-01,-2360.023,
1999-04,1129.773,
1999-07,-335.330,
1999-10,1081.214,
2000-01,-260.535,
2000-04,2040.809,
2000-07,1808.730,
2000-10,1430.764,
2001-01,676.460,
2001-04,1366.720,
2001-07,-2759.371,
2001-10,-153.989,
2002-01,-643.565,
2002-04,461.527,
2002-07,61.499,
2002-10,599.085,
2003-01,1518.183,
2003-04,1491.286,
2003-07,-3195.372,
2003-10,-84.515,
2004-01,3162.165,
2004-04,-2183.469,
2004-07,2002.270,
2004-10,1100.114,
2005-01,3483.994,
2005-04,-500.826,
2005-07,6110.899,
2005-10,-534.954,
2006-01,2351.297,
2006-04,1065.851,
2006-07,-1565.738,
2006-10,4056.452,
2007-01,3808.791,
2007-04,-1995.106,
2007-07,5044.974,
2007-10,341.958,
2008-01,3096.575,
2008-04,5270.139,
2008-07,946.265,
2008-10,-10652.999,
2009-01,-156.036,
2009-04,-1729.619,
2009-07,832.201,
2009-10,1751.234,
2010-01,-4359.347,
2010-04,2137.084,
2010-07,1801.722,
2010-10,-2598.750,
2011-01,1218.036,
2011-04,-2515.313,
2011-07,3922.591,
2011-10,-4117.230,
2012-01,2629.058,
2012-04,-3433.451,
2012-07,1809.278,
2012-10,-3958.734,
2013-01,2419.142,
2013-04,-1527.354,
2013-07,-2448.739,
2013-10,-1071.609,
2014-01,-2462.845,Provisional value
2014-04,-1020.287,Provisional value
2014-07,2295.224,Provisional value
2014-10,-3168.066,Provisional value
