"",BBK01.OECI04K,BBK01.OECI04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:40,
2002-01,2.018,
2002-04,2.092,
2002-07,2.391,
2002-10,2.494,
2003-01,2.145,
2003-04,2.044,
2003-07,1.973,
2003-10,1.795,
2004-01,1.648,
2004-04,1.645,
2004-07,1.565,
2004-10,3.949,
2005-01,3.255,
2005-04,3.315,
2005-07,3.184,
2005-10,3.318,
2006-01,3.461,
2006-04,3.724,
2006-07,3.685,
2006-10,4.017,
2007-01,4.860,
2007-04,4.929,
2007-07,5.676,
2007-10,6.598,
2008-01,6.485,
2008-04,6.701,
2008-07,7.298,
2008-10,6.641,
2009-01,5.980,
2009-04,5.628,
2009-07,4.763,
2009-10,4.186,
2010-01,3.591,
2010-04,3.606,
2010-07,3.788,
2010-10,4.021,
2011-01,3.230,
2011-04,3.556,
2011-07,3.733,
2011-10,4.353,
2012-01,4.023,
2012-04,3.804,
2012-07,3.668,
2012-10,4.612,
2013-01,3.816,
2013-04,4.098,
2013-07,4.256,
2013-10,3.447,
2014-01,3.589,
2014-04,3.887,
2014-07,4.154,
