"",BBK01.OEXB10N,BBK01.OEXB10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:59,
2002-01,11.686,
2002-04,11.493,
2002-07,11.171,
2002-10,11.973,
2003-01,11.451,
2003-04,11.548,
2003-07,11.098,
2003-10,11.041,
2004-01,10.679,
2004-04,10.445,
2004-07,10.491,
2004-10,9.387,
2005-01,11.159,
2005-04,10.723,
2005-07,9.946,
2005-10,10.741,
2006-01,10.019,
2006-04,9.144,
2006-07,9.436,
2006-10,8.918,
2007-01,10.022,
2007-04,9.864,
2007-07,9.233,
2007-10,9.524,
2008-01,10.586,
2008-04,10.981,
2008-07,11.871,
2008-10,10.637,
2009-01,10.678,
2009-04,10.518,
2009-07,9.229,
2009-10,6.898,
2010-01,7.367,
2010-04,8.238,
2010-07,8.661,
2010-10,7.534,
2011-01,11.416,
2011-04,8.486,
2011-07,11.835,
2011-10,7.208,
2012-01,8.376,
2012-04,8.123,
2012-07,7.925,
2012-10,9.045,
2013-01,9.635,
2013-04,9.823,
2013-07,8.787,
2013-10,8.428,
2014-01,9.345,
2014-04,9.663,
2014-07,9.611,
