"",BBK01.OEXB13M,BBK01.OEXB13M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:50,
2002-01,3.533,
2002-04,3.509,
2002-07,3.487,
2002-10,3.468,
2003-01,3.436,
2003-04,3.410,
2003-07,3.370,
2003-10,3.374,
2004-01,3.346,
2004-04,3.365,
2004-07,3.345,
2004-10,2.945,
2005-01,2.947,
2005-04,4.514,
2005-07,4.371,
2005-10,4.442,
2006-01,4.528,
2006-04,4.684,
2006-07,4.770,
2006-10,4.678,
2007-01,5.127,
2007-04,5.098,
2007-07,5.287,
2007-10,5.438,
2008-01,5.296,
2008-04,5.407,
2008-07,5.289,
2008-10,5.463,
2009-01,5.487,
2009-04,5.713,
2009-07,5.764,
2009-10,5.909,
2010-01,6.004,
2010-04,6.081,
2010-07,6.223,
2010-10,6.412,
2011-01,6.341,
2011-04,6.348,
2011-07,6.317,
2011-10,6.458,
2012-01,6.529,
2012-04,6.668,
2012-07,6.739,
2012-10,6.836,
2013-01,6.654,
2013-04,6.753,
2013-07,6.658,
2013-10,6.785,
2014-01,6.771,
2014-04,6.548,
2014-07,6.655,
