"",BBK01.OELB16U,BBK01.OELB16U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:46,
2002-01,0.625,
2002-04,0.611,
2002-07,0.595,
2002-10,0.588,
2003-01,0.565,
2003-04,0.554,
2003-07,0.540,
2003-10,0.534,
2004-01,0.513,
2004-04,0.507,
2004-07,0.501,
2004-10,0.517,
2005-01,0.480,
2005-04,0.476,
2005-07,0.457,
2005-10,0.450,
2006-01,0.440,
2006-04,0.440,
2006-07,0.434,
2006-10,0.434,
2007-01,0.427,
2007-04,0.429,
2007-07,0.432,
2007-10,0.431,
2008-01,0.431,
2008-04,0.440,
2008-07,0.442,
2008-10,0.443,
2009-01,0.441,
2009-04,0.441,
2009-07,0.437,
2009-10,0.443,
2010-01,0.439,
2010-04,0.447,
2010-07,0.444,
2010-10,0.449,
2011-01,0.448,
2011-04,0.453,
2011-07,0.457,
2011-10,0.468,
2012-01,0.468,
2012-04,0.740,
2012-07,0.746,
2012-10,0.748,
2013-01,0.750,
2013-04,0.754,
2013-07,0.777,
2013-10,0.771,
2014-01,0.766,
2014-04,0.768,
2014-07,0.773,
