"",BBK01.OECB04S,BBK01.OECB04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:50,
2002-01,2.889,
2002-04,2.855,
2002-07,2.814,
2002-10,2.639,
2003-01,2.551,
2003-04,2.522,
2003-07,2.527,
2003-10,2.535,
2004-01,2.497,
2004-04,2.446,
2004-07,2.445,
2004-10,2.314,
2005-01,3.456,
2005-04,3.449,
2005-07,3.479,
2005-10,3.453,
2006-01,3.475,
2006-04,3.510,
2006-07,3.558,
2006-10,3.599,
2007-01,3.578,
2007-04,3.678,
2007-07,3.668,
2007-10,3.642,
2008-01,3.636,
2008-04,3.647,
2008-07,3.661,
2008-10,3.657,
2009-01,3.667,
2009-04,4.342,
2009-07,4.323,
2009-10,4.346,
2010-01,4.342,
2010-04,4.336,
2010-07,4.299,
2010-10,4.229,
2011-01,4.307,
2011-04,4.298,
2011-07,4.293,
2011-10,4.313,
2012-01,4.320,
2012-04,4.324,
2012-07,4.331,
2012-10,4.312,
2013-01,4.343,
2013-04,4.364,
2013-07,4.378,
2013-10,4.400,
2014-01,4.385,
2014-04,4.431,
2014-07,4.463,
