"",BBFB1.Q.N.DE.D09.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:05,
1991-01,71.191,
1991-04,81.047,
1991-07,75.899,
1991-10,96.915,
1992-01,76.686,
1992-04,86.403,
1992-07,94.722,
1992-10,91.594,
1993-01,363.462,
1993-04,294.739,
1993-07,300.685,
1993-10,-93.518,
1994-01,227.209,
1994-04,255.766,
1994-07,219.941,
1994-10,249.818,
1995-01,-423.076,
1995-04,-396.840,
1995-07,-401.652,
1995-10,-474.399,
1996-01,-356.007,
1996-04,-360.953,
1996-07,-467.225,
1996-10,-403.938,
1997-01,-299.152,
1997-04,-413.682,
1997-07,-435.686,
1997-10,-438.955,
1998-01,-399.356,
1998-04,-425.736,
1998-07,-537.389,
1998-10,-436.136,
1999-01,-426.575,
1999-04,-449.127,
1999-07,-517.974,
1999-10,-444.626,
2000-01,202.362,
2000-04,216.569,
2000-07,233.250,
2000-10,307.278,
2001-01,244.678,
2001-04,213.553,
2001-07,208.675,
2001-10,212.149,
2002-01,200.637,
2002-04,212.136,
2002-07,208.356,
2002-10,219.347,
2003-01,228.441,
2003-04,228.734,
2003-07,246.871,
2003-10,261.770,
2004-01,248.791,
2004-04,218.096,
2004-07,201.057,
2004-10,220.520,
2005-01,200.356,
2005-04,219.023,
2005-07,216.526,
2005-10,231.779,
2006-01,234.964,
2006-04,237.970,
2006-07,246.594,
2006-10,249.298,
2007-01,246.110,
2007-04,238.076,
2007-07,241.507,
2007-10,245.870,
2008-01,251.228,
2008-04,250.828,
2008-07,259.316,
2008-10,254.510,
2009-01,216.383,
2009-04,199.444,
2009-07,209.325,
2009-10,209.587,
2010-01,55.000,
2010-04,55.994,
2010-07,57.006,
2010-10,60.011,
2011-01,60.008,
2011-04,66.000,
2011-07,64.996,
2011-10,60.998,
2012-01,54.045,
2012-04,53.080,
2012-07,52.003,
2012-10,52.028,
2013-01,39.009,
2013-04,38.993,
2013-07,38.023,
2013-10,38.002,
2014-01,50.008,
2014-04,0.102,
2014-07,0.004,
