"",BBK01.OEBL08S,BBK01.OEBL08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:01,
2002-01,0.692,
2002-04,0.582,
2002-07,0.568,
2002-10,0.602,
2003-01,0.598,
2003-04,0.589,
2003-07,0.630,
2003-10,0.600,
2004-01,0.581,
2004-04,0.569,
2004-07,0.594,
2004-10,0.623,
2005-01,1.579,
2005-04,1.579,
2005-07,1.594,
2005-10,1.613,
2006-01,1.635,
2006-04,1.618,
2006-07,1.538,
2006-10,1.534,
2007-01,1.575,
2007-04,1.567,
2007-07,1.547,
2007-10,1.576,
2008-01,1.586,
2008-04,1.620,
2008-07,1.584,
2008-10,1.585,
2009-01,1.608,
2009-04,1.638,
2009-07,1.715,
2009-10,1.805,
2010-01,1.846,
2010-04,1.822,
2010-07,1.834,
2010-10,1.853,
2011-01,1.837,
2011-04,1.797,
2011-07,1.787,
2011-10,1.798,
2012-01,1.902,
2012-04,1.888,
2012-07,1.901,
2012-10,1.962,
2013-01,1.969,
2013-04,1.951,
2013-07,1.930,
2013-10,1.942,
2014-01,1.936,
2014-04,1.903,
2014-07,1.932,
