"",BBK01.OELB12L,BBK01.OELB12L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:58,
2002-01,2.492,
2002-04,2.495,
2002-07,2.516,
2002-10,2.573,
2003-01,2.545,
2003-04,2.554,
2003-07,2.567,
2003-10,2.601,
2004-01,2.543,
2004-04,2.536,
2004-07,2.544,
2004-10,2.550,
2005-01,2.548,
2005-04,2.542,
2005-07,2.557,
2005-10,2.569,
2006-01,2.540,
2006-04,2.511,
2006-07,2.515,
2006-10,2.500,
2007-01,2.522,
2007-04,2.564,
2007-07,2.583,
2007-10,2.608,
2008-01,2.634,
2008-04,2.716,
2008-07,2.751,
2008-10,2.819,
2009-01,2.827,
2009-04,2.875,
2009-07,2.932,
2009-10,3.038,
2010-01,3.129,
2010-04,3.209,
2010-07,3.232,
2010-10,3.352,
2011-01,3.355,
2011-04,3.435,
2011-07,3.493,
2011-10,3.577,
2012-01,3.628,
2012-04,3.836,
2012-07,3.976,
2012-10,4.071,
2013-01,4.150,
2013-04,4.254,
2013-07,4.386,
2013-10,4.464,
2014-01,4.510,
2014-04,4.608,
2014-07,4.681,
