"",BBK01.CEBL0N,BBK01.CEBL0N_FLAGS
"",Mutual funds shares debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:50,
1991-01,0.0,
1991-04,0.0,
1991-07,0.0,
1991-10,4.0,
1992-01,0.0,
1992-04,0.0,
1992-07,0.0,
1992-10,4.0,
1993-01,0.0,
1993-04,0.0,
1993-07,0.0,
1993-10,6.0,
1994-01,6.6,
1994-04,7.5,
1994-07,7.6,
1994-10,8.6,
1995-01,8.4,
1995-04,8.1,
1995-07,7.8,
1995-10,8.1,
1996-01,8.3,
1996-04,8.0,
1996-07,7.8,
1996-10,6.9,
1997-01,7.5,
1997-04,7.9,
1997-07,6.3,
1997-10,4.8,
1998-01,4.9,
1998-04,4.3,
1998-07,4.1,
1998-10,3.3,
1999-01,5.9,
1999-04,4.8,
1999-07,5.4,
1999-10,9.1,
2000-01,14.2,
2000-04,16.3,
2000-07,18.0,
2000-10,20.1,
2001-01,18.1,
2001-04,17.4,
2001-07,16.9,
2001-10,21.1,
2002-01,22.1,
2002-04,21.1,
2002-07,22.1,
2002-10,20.4,
2003-01,19.6,
2003-04,19.1,
2003-07,18.3,
2003-10,18.6,
2004-01,19.4,
2004-04,17.9,
2004-07,21.9,
2004-10,22.7,
2005-01,23.3,
2005-04,24.0,
2005-07,28.5,
2005-10,28.8,
2006-01,138.7,
2006-04,145.7,
2006-07,144.2,
2006-10,128.9,
2007-01,137.8,
2007-04,146.1,
2007-07,140.8,
2007-10,139.6,
2008-01,127.6,
2008-04,127.5,
2008-07,126.6,
2008-10,113.1,
2009-01,113.3,
2009-04,119.2,
2009-07,151.3,
2009-10,125.4,
2010-01,127.4,
2010-04,119.5,
2010-07,122.9,
2010-10,129.6,
2011-01,132.0,
2011-04,121.0,
2011-07,115.4,
2011-10,117.1,
2012-01,127.8,
2012-04,129.6,
2012-07,129.7,
2012-10,128.9,
2013-01,129.7,
2013-04,126.6,
2013-07,130.9,
2013-10,135.7,
2014-01,136.8,
