"",BBFB1.Q.N.DE.S6.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:46,
1991-01,10781.651,
1991-04,11105.213,
1991-07,12169.554,
1991-10,11021.654,
1992-01,11360.097,
1992-04,10191.192,
1992-07,10424.443,
1992-10,10676.203,
1993-01,10615.125,
1993-04,10358.859,
1993-07,11371.244,
1993-10,11287.592,
1994-01,11621.445,
1994-04,10764.595,
1994-07,11344.323,
1994-10,11935.883,
1995-01,11496.750,
1995-04,11361.555,
1995-07,11984.640,
1995-10,12800.886,
1996-01,12362.047,
1996-04,11317.941,
1996-07,11688.195,
1996-10,11673.704,
1997-01,12871.248,
1997-04,12844.801,
1997-07,14227.636,
1997-10,14180.470,
1998-01,14645.129,
1998-04,13948.688,
1998-07,14169.194,
1998-10,14207.699,
1999-01,14068.118,
1999-04,14183.062,
1999-07,15784.421,
1999-10,17017.147,
2000-01,18265.779,
2000-04,18776.531,
2000-07,19990.608,
2000-10,22161.690,
2001-01,19756.669,
2001-04,18314.136,
2001-07,17846.429,
2001-10,18792.660,
2002-01,16920.416,
2002-04,17256.803,
2002-07,17769.897,
2002-10,19399.827,
2003-01,19151.580,
2003-04,18134.322,
2003-07,18595.041,
2003-10,21213.230,
2004-01,20606.956,
2004-04,21402.729,
2004-07,23314.477,
2004-10,25583.612,
2005-01,22211.224,
2005-04,24071.532,
2005-07,25839.924,
2005-10,29932.246,
2006-01,29361.584,
2006-04,27735.819,
2006-07,28605.947,
2006-10,32878.802,
2007-01,32177.233,
2007-04,28466.558,
2007-07,31910.051,
2007-10,32695.318,
2008-01,32367.679,
2008-04,29451.626,
2008-07,32705.291,
2008-10,34769.095,
2009-01,28894.869,
2009-04,25252.134,
2009-07,29708.697,
2009-10,30255.728,
2010-01,33243.783,
2010-04,36768.861,
2010-07,41073.966,
2010-10,40841.736,
2011-01,40033.620,
2011-04,38613.989,
2011-07,41642.521,
2011-10,40261.867,
2012-01,39500.959,
2012-04,37204.113,
2012-07,39808.722,
2012-10,37713.698,
2013-01,37143.149,
2013-04,35697.102,
2013-07,39250.863,
2013-10,36314.349,
2014-01,38013.201,Provisional value
2014-04,35828.971,Provisional value
2014-07,40932.295,Provisional value
