"",BBNZ1.Q.DE.N.G.0036.A,BBNZ1.Q.DE.N.G.0036.A_FLAGS
"",Germany / National accounts / Households' income / Net wages and salaries (residence concept),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-24 08:21:04,
1991-01,113.414,
1991-04,116.797,
1991-07,123.062,
1991-10,137.479,
1992-01,119.247,
1992-04,122.970,
1992-07,134.309,
1992-10,147.340,
1993-01,124.343,
1993-04,127.947,
1993-07,136.404,
1993-10,150.026,
1994-01,126.044,
1994-04,127.022,
1994-07,135.866,
1994-10,149.487,
1995-01,126.856,
1995-04,128.194,
1995-07,137.205,
1995-10,150.397,
1996-01,129.610,
1996-04,130.341,
1996-07,139.588,
1996-10,150.160,
1997-01,127.154,
1997-04,127.961,
1997-07,137.411,
1997-10,148.797,
1998-01,128.561,
1998-04,130.835,
1998-07,141.515,
1998-10,152.553,
1999-01,132.028,
1999-04,135.344,
1999-07,146.943,
1999-10,158.801,
2000-01,139.690,
2000-04,141.599,
2000-07,153.366,
2000-10,165.923,
2001-01,144.717,
2001-04,146.315,
2001-07,156.946,
2001-10,170.731,
2002-01,145.514,
2002-04,146.806,
2002-07,158.213,
2002-10,171.416,
2003-01,144.163,
2003-04,144.879,
2003-07,156.757,
2003-10,169.569,
2004-01,147.054,
2004-04,149.710,
2004-07,159.349,
2004-10,172.397,
2005-01,147.441,
2005-04,149.266,
2005-07,158.983,
2005-10,171.678,
2006-01,146.277,
2006-04,149.725,
2006-07,160.953,
2006-10,173.759,
2007-01,151.167,
2007-04,154.306,
2007-07,164.275,
2007-10,179.185,
2008-01,156.999,
2008-04,159.632,
2008-07,170.119,
2008-10,184.059,
2009-01,156.525,
2009-04,159.498,
2009-07,170.969,
2009-10,185.602,
2010-01,163.132,
2010-04,167.623,
2010-07,177.697,
2010-10,193.715,
2011-01,169.634,
2011-04,174.058,
2011-07,183.815,
2011-10,200.945,
2012-01,176.080,
2012-04,181.168,
2012-07,190.588,
2012-10,208.518,
2013-01,181.217,
2013-04,185.632,
2013-07,196.427,
2013-10,213.950,
2014-01,187.622,
2014-04,192.547,
2014-07,203.345,
2014-10,221.106,
