"",BBK01.OEAJ02J,BBK01.OEAJ02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:05,
2002-01,1.765,
2002-04,1.932,
2002-07,1.925,
2002-10,2.115,
2003-01,1.966,
2003-04,2.059,
2003-07,1.994,
2003-10,2.136,
2004-01,2.253,
2004-04,2.381,
2004-07,2.343,
2004-10,2.406,
2005-01,2.457,
2005-04,2.536,
2005-07,2.566,
2005-10,2.619,
2006-01,2.588,
2006-04,2.653,
2006-07,2.626,
2006-10,2.873,
2007-01,2.933,
2007-04,2.992,
2007-07,3.130,
2007-10,3.393,
2008-01,3.050,
2008-04,3.116,
2008-07,3.019,
2008-10,3.376,
2009-01,3.362,
2009-04,3.247,
2009-07,3.487,
2009-10,3.928,
2010-01,3.599,
2010-04,3.482,
2010-07,3.185,
2010-10,3.386,
2011-01,3.267,
2011-04,3.331,
2011-07,3.549,
2011-10,3.773,
2012-01,3.667,
2012-04,3.673,
2012-07,4.233,
2012-10,4.746,
2013-01,4.870,
2013-04,4.516,
2013-07,4.663,
2013-10,5.152,
2014-01,4.762,
2014-04,4.645,
2014-07,4.962,
