"",BBDL1.M.DE.N.EMP.EBA000.A0000.A00.D00.0S3.ABA.A,BBDL1.M.DE.N.EMP.EBA000.A0000.A00.D00.0S3.ABA.A_FLAGS
"",Employees subject to social security contributions / Germany / Tertiary sector excluding hiring out of labour / Absolute value / Unadjusted figure,
unit,Anzahl (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 10:05:02,
2007-01,17503778,
2007-02,17517306,
2007-03,17575784,
2007-04,17638575,
2007-05,17693610,
2007-06,17671670,
2007-07,17629583,
2007-08,17811136,
2007-09,18044832,
2007-10,18124900,
2007-11,18127957,
2007-12,18048245,
2008-01,17943365,
2008-02,17968793,
2008-03,18027890,
2008-04,18080422,
2008-05,18125999,
2008-06,18116331,
2008-07,18073904,
2008-08,18240406,
2008-09,18479698,
2008-10,18526775,
2008-11,18515722,
2008-12,18435823,
2009-01,18294825,
2009-02,18291247,
2009-03,18329300,
2009-04,18366176,
2009-05,18390591,
2009-06,18366568,
2009-07,18299435,
2009-08,18460018,
2009-09,18665596,
2009-10,18691196,
2009-11,18713224,
2009-12,18621397,
2010-01,18477811,
2010-02,18468236,
2010-03,18537139,
2010-04,18595283,
2010-05,18651036,
2010-06,18623492,
2010-07,18558763,
2010-08,18736319,
2010-09,18944964,
2010-10,18981764,
2010-11,18984558,
2010-12,18900737,
2011-01,18787466,
2011-02,18811999,
2011-03,18886824,
2011-04,18957962,
2011-05,19027911,
2011-06,19016339,
2011-07,18958422,
2011-08,19159569,
2011-09,19396532,
2011-10,19455569,
2011-11,19476293,
2011-12,19401799,
2012-01,19329925,
2012-02,19351707,
2012-03,19436733,
2012-04,19505408,
2012-05,19547974,
2012-06,19518797,
2012-07,19478428,
2012-08,19645248,
2012-09,19857584,
2012-10,19936270,
2012-11,19964615,
2012-12,19855502,
2013-01,19736666,
2013-02,19749298,
2013-03,19798102,
2013-04,19863167,
2013-05,19899150,
2013-06,19863199,
2013-07,19814430,
2013-08,19997996,
2013-09,20223614,
2013-10,20251515,
2013-11,20248823,
2013-12,20158123,
2014-01,20054170,
2014-02,20084684,
2014-03,20157587,
2014-04,20240108,
2014-05,20289217,
2014-06,20292408,
2014-07,20216920,
2014-08,20358070,
2014-09,20593200,Estimated value
2014-10,20651400,Estimated value
2014-11,20715800,Estimated value
2014-12,20626600,Estimated value
"",Source: Federal Employment Agency.,
