"",BBK01.OEAE18L,BBK01.OEAE18L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:10,
2002-01,1.977,
2002-04,2.285,
2002-07,1.969,
2002-10,2.084,
2003-01,2.088,
2003-04,2.325,
2003-07,1.830,
2003-10,1.908,
2004-01,1.752,
2004-04,1.839,
2004-07,1.864,
2004-10,1.565,
2005-01,1.875,
2005-04,2.020,
2005-07,2.237,
2005-10,1.981,
2006-01,2.475,
2006-04,2.339,
2006-07,2.186,
2006-10,1.935,
2007-01,1.556,
2007-04,2.255,
2007-07,2.190,
2007-10,2.579,
2008-01,2.739,
2008-04,3.424,
2008-07,3.309,
2008-10,3.103,
2009-01,1.805,
2009-04,1.942,
2009-07,1.713,
2009-10,1.588,
2010-01,1.873,
2010-04,7.966,
2010-07,1.739,
2010-10,2.112,
2011-01,1.704,
2011-04,1.538,
2011-07,1.474,
2011-10,1.423,
2012-01,1.285,
2012-04,1.243,
2012-07,1.254,
2012-10,1.119,
2013-01,1.025,
2013-04,0.911,
2013-07,1.070,
2013-10,0.984,
2014-01,0.973,
2014-04,0.846,
2014-07,0.536,
