"",BBFB1.Q.N.DE.S3.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:01,
1991-01,-716.174,
1991-04,-1249.269,
1991-07,253.542,
1991-10,344.107,
1992-01,-618.550,
1992-04,-446.426,
1992-07,354.907,
1992-10,-611.093,
1993-01,-241.551,
1993-04,132.563,
1993-07,-450.904,
1993-10,-938.282,
1994-01,702.442,
1994-04,-281.872,
1994-07,-102.023,
1994-10,-76.695,
1995-01,2611.300,
1995-04,677.305,
1995-07,570.293,
1995-10,-541.277,
1996-01,1397.212,
1996-04,-1126.293,
1996-07,-732.371,
1996-10,-56.195,
1997-01,934.188,
1997-04,-873.360,
1997-07,-1529.643,
1997-10,428.684,
1998-01,1683.024,
1998-04,-739.220,
1998-07,2399.206,
1998-10,-80.626,
1999-01,-2050.831,
1999-04,190.399,
1999-07,370.124,
1999-10,1774.139,
2000-01,253.104,
2000-04,1564.244,
2000-07,-2.490,
2000-10,1076.377,
2001-01,1333.923,
2001-04,1567.744,
2001-07,-2954.455,
2001-10,378.873,
2002-01,-690.654,
2002-04,707.789,
2002-07,-490.550,
2002-10,576.738,
2003-01,117.412,
2003-04,1000.508,
2003-07,-3092.530,
2003-10,839.834,
2004-01,1876.069,
2004-04,-2323.035,
2004-07,3136.170,
2004-10,1248.262,
2005-01,1922.937,
2005-04,-343.153,
2005-07,2043.493,
2005-10,-2957.815,
2006-01,454.544,
2006-04,2998.563,
2006-07,-762.349,
2006-10,562.219,
2007-01,2200.046,
2007-04,-63.180,
2007-07,2329.838,
2007-10,1858.829,
2008-01,-259.962,
2008-04,1096.201,
2008-07,-2759.194,
2008-10,-2731.270,
2009-01,3429.271,
2009-04,-2047.430,
2009-07,1886.755,
2009-10,3314.272,
2010-01,-5056.193,
2010-04,2492.897,
2010-07,-2304.399,
2010-10,1903.118,
2011-01,-48.000,
2011-04,-4197.679,
2011-07,294.145,
2011-10,1367.377,
2012-01,-1252.799,
2012-04,-2891.172,
2012-07,5299.835,
2012-10,-1378.953,
2013-01,2316.359,
2013-04,-881.418,
2013-07,-2859.779,
2013-10,1204.917,
2014-01,-2590.408,Provisional value
2014-04,200.033,Provisional value
2014-07,3608.594,Provisional value
2014-10,-3008.794,Provisional value
