"",BBK01.OEAE12S,BBK01.OEAE12S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:51,
2002-01,0.004,
2002-04,0.027,
2002-07,0.052,
2002-10,0.052,
2003-01,0.028,
2003-04,0.031,
2003-07,0.027,
2003-10,0.006,
2004-01,0.008,
2004-04,0.008,
2004-07,0.007,
2004-10,0.007,
2005-01,0.004,
2005-04,0.004,
2005-07,0.003,
2005-10,0.015,
2006-01,0.014,
2006-04,0.014,
2006-07,0.005,
2006-10,0.004,
2007-01,0.002,
2007-04,0.002,
2007-07,0.002,
2007-10,0.001,
2008-01,0.002,
2008-04,0.002,
2008-07,0.004,
2008-10,0.003,
2009-01,0.004,
2009-04,0.011,
2009-07,0.076,
2009-10,0.031,
2010-01,0.024,
2010-04,0.021,
2010-07,0.021,
2010-10,0.022,
2011-01,0.022,
2011-04,0.022,
2011-07,0.021,
2011-10,0.041,
2012-01,0.026,
2012-04,0.023,
2012-07,0.023,
2012-10,0.026,
2013-01,0.025,
2013-04,0.015,
2013-07,0.020,
2013-10,0.015,
2014-01,0.014,
2014-04,0.018,
2014-07,0.022,
