"",BBFN1.M.DE.N.1.A.UA.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.UA.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Ukraine,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:49,
1995-01,0.213,
1995-02,0.210,
1995-03,0.216,
1995-04,0.224,
1995-05,0.224,
1995-06,0.231,
1995-07,0.242,
1995-08,0.239,
1995-09,0.242,
1995-10,0.314,
1995-11,0.317,
1995-12,0.297,
1996-01,0.286,
1996-02,0.296,
1996-03,0.306,
1996-04,0.304,
1996-05,0.331,
1996-06,0.357,
1996-07,0.398,
1996-08,0.397,
1996-09,0.401,
1996-10,0.381,
1996-11,0.370,
1996-12,0.401,
1997-01,0.402,
1997-02,0.427,
1997-03,0.422,
1997-04,0.440,
1997-05,0.431,
1997-06,0.446,
1997-07,0.451,
1997-08,0.510,
1997-09,0.500,
1997-10,0.507,
1997-11,0.507,
1997-12,0.519,
1998-01,0.522,
1998-02,0.552,
1998-03,0.539,
1998-04,0.553,
1998-05,0.550,
1998-06,0.583,
1998-07,0.572,
1998-08,0.576,
1998-09,0.477,
1998-10,0.483,
1998-11,0.476,
1998-12,0.436,
1999-01,0.432,
1999-02,0.399,
1999-03,0.413,
1999-04,0.389,
1999-05,0.435,
1999-06,0.447,
1999-07,0.437,
1999-08,0.433,
1999-09,0.414,
1999-10,0.435,
1999-11,0.436,
1999-12,0.424,
2000-01,0.419,
2000-02,0.410,
2000-03,0.419,
2000-04,0.423,
2000-05,0.405,
2000-06,0.388,
2000-07,0.384,
2000-08,0.389,
2000-09,0.384,
2000-10,0.394,
2000-11,0.408,
2000-12,0.407,
2001-01,0.413,
2001-02,0.421,
2001-03,0.414,
2001-04,0.465,
2001-05,0.454,
2001-06,0.489,
2001-07,0.476,
2001-08,0.456,
2001-09,0.499,
2001-10,0.521,
2001-11,0.527,
2001-12,0.497,
2002-01,0.461,
2002-02,0.459,
2002-03,0.471,
2002-04,0.473,
2002-05,0.453,
2002-06,0.451,
2002-07,0.437,
2002-08,0.467,
2002-09,0.438,
2002-10,0.418,
2002-11,0.449,
2002-12,0.448,
2003-01,0.436,
2003-02,0.407,
2003-03,0.413,
2003-04,0.458,
2003-05,0.428,
2003-06,0.441,
2003-07,0.430,
2003-08,0.435,
2003-09,0.443,
2003-10,0.448,
2003-11,0.495,
2003-12,0.517,
2004-01,0.485,
2004-02,0.513,
2004-03,0.517,
2004-04,0.531,
2004-05,0.542,
2004-06,0.552,
2004-07,0.539,
2004-08,0.548,
2004-09,0.548,
2004-10,0.546,
2004-11,0.547,
2004-12,0.522,
2005-01,0.535,
2005-02,0.564,
2005-03,0.598,
2005-04,0.593,
2005-05,0.592,
2005-06,0.643,
2005-07,0.619,
2005-08,0.580,
2005-09,0.579,
2005-10,0.615,
2005-11,0.637,
2005-12,0.616,
2006-01,0.610,
2006-02,0.633,
2006-03,0.643,
2006-04,0.639,
2006-05,0.625,
2006-06,0.660,
2006-07,0.654,
2006-08,0.689,
2006-09,0.726,
2006-10,0.744,
2006-11,0.723,
2006-12,0.722,
2007-01,0.693,
2007-02,0.768,
2007-03,0.852,
2007-04,0.860,
2007-05,0.877,
2007-06,0.903,
2007-07,0.904,
2007-08,0.891,
2007-09,0.976,
2007-10,1.021,
2007-11,0.914,
2007-12,0.914,
2008-01,0.998,
2008-02,1.047,
2008-03,1.021,
2008-04,1.081,
2008-05,1.089,
2008-06,1.150,
2008-07,1.220,
2008-08,1.185,
2008-09,1.196,
2008-10,1.216,
2008-11,1.273,
2008-12,1.192,
2009-01,1.168,
2009-02,1.146,
2009-03,1.116,
2009-04,1.084,
2009-05,1.056,
2009-06,1.047,
2009-07,1.039,
2009-08,1.050,
2009-09,1.033,
2009-10,1.034,
2009-11,1.004,
2009-12,0.975,
2010-01,0.991,
2010-02,0.998,
2010-03,1.091,
2010-04,1.111,
2010-05,1.165,
2010-06,1.192,
2010-07,1.190,
2010-08,1.265,
2010-09,1.227,
2010-10,1.236,
2010-11,1.245,
2010-12,1.159,
2011-01,1.192,
2011-02,1.275,
2011-03,1.272,
2011-04,1.263,
2011-05,1.329,
2011-06,1.283,
2011-07,1.288,
2011-08,1.267,
2011-09,1.201,
2011-10,1.225,
2011-11,1.248,
2011-12,1.125,
2012-01,1.124,
2012-02,1.174,
2012-03,1.192,
2012-04,1.240,
2012-05,1.292,
2012-06,1.265,
2012-07,1.276,
2012-08,1.241,
2012-09,1.228,
2012-10,1.187,
2012-11,1.203,
2012-12,1.157,
2013-01,1.164,
2013-02,1.196,
2013-03,1.251,
2013-04,1.282,
2013-05,1.282,
2013-06,1.493,
2013-07,1.296,
2013-08,1.286,
2013-09,1.257,
2013-10,1.251,
2013-11,1.312,
2013-12,1.217,
2014-01,1.167,
2014-02,1.221,
2014-03,1.250,
2014-04,1.210,
2014-05,1.221,
2014-06,1.215,
2014-07,1.204,
2014-08,1.222,
2014-09,1.192,
2014-10,1.147,
2014-11,1.110,
2014-12,1.098,
