"",BBK01.OEAB15R,BBK01.OEAB15R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:20,
2002-01,0.191,
2002-04,0.189,
2002-07,0.188,
2002-10,0.189,
2003-01,0.180,
2003-04,0.175,
2003-07,0.171,
2003-10,0.169,
2004-01,0.160,
2004-04,0.159,
2004-07,0.158,
2004-10,0.156,
2005-01,0.157,
2005-04,0.158,
2005-07,0.153,
2005-10,0.143,
2006-01,0.143,
2006-04,0.144,
2006-07,0.142,
2006-10,0.136,
2007-01,0.136,
2007-04,0.137,
2007-07,0.136,
2007-10,0.117,
2008-01,0.120,
2008-04,0.119,
2008-07,0.119,
2008-10,0.115,
2009-01,0.117,
2009-04,0.120,
2009-07,0.117,
2009-10,0.112,
2010-01,0.111,
2010-04,0.110,
2010-07,0.111,
2010-10,0.088,
2011-01,0.095,
2011-04,0.094,
2011-07,0.089,
2011-10,0.084,
2012-01,0.086,
2012-04,0.109,
2012-07,0.112,
2012-10,0.114,
2013-01,0.113,
2013-04,0.113,
2013-07,0.126,
2013-10,0.120,
2014-01,0.121,
2014-04,0.125,
2014-07,0.124,
