"",BBK01.OELK03P,BBK01.OELK03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:26,
2002-01,0.135,
2002-04,0.122,
2002-07,0.113,
2002-10,0.105,
2003-01,0.104,
2003-04,0.103,
2003-07,0.104,
2003-10,0.104,
2004-01,0.106,
2004-04,0.103,
2004-07,0.110,
2004-10,0.105,
2005-01,0.098,
2005-04,0.095,
2005-07,0.095,
2005-10,0.093,
2006-01,0.093,
2006-04,0.093,
2006-07,0.093,
2006-10,0.090,
2007-01,0.098,
2007-04,0.099,
2007-07,0.106,
2007-10,0.127,
2008-01,0.130,
2008-04,0.144,
2008-07,0.149,
2008-10,0.177,
2009-01,0.160,
2009-04,0.145,
2009-07,0.156,
2009-10,0.141,
2010-01,0.134,
2010-04,0.119,
2010-07,0.110,
2010-10,0.113,
2011-01,0.110,
2011-04,0.126,
2011-07,0.122,
2011-10,0.127,
2012-01,0.133,
2012-04,0.130,
2012-07,0.130,
2012-10,0.130,
2013-01,0.125,
2013-04,0.113,
2013-07,0.108,
2013-10,0.108,
2014-01,0.114,
2014-04,0.113,
2014-07,0.114,
