"",BBK01.OEAN02S,BBK01.OEAN02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:15,
2002-01,8.488,
2002-04,8.353,
2002-07,8.393,
2002-10,8.708,
2003-01,8.762,
2003-04,8.565,
2003-07,8.730,
2003-10,8.936,
2004-01,8.879,
2004-04,8.755,
2004-07,8.723,
2004-10,8.892,
2005-01,9.855,
2005-04,9.801,
2005-07,9.779,
2005-10,9.979,
2006-01,10.096,
2006-04,10.076,
2006-07,10.059,
2006-10,10.254,
2007-01,10.432,
2007-04,10.453,
2007-07,10.516,
2007-10,10.755,
2008-01,10.711,
2008-04,10.728,
2008-07,10.609,
2008-10,10.992,
2009-01,10.977,
2009-04,10.944,
2009-07,10.993,
2009-10,11.246,
2010-01,11.082,
2010-04,11.134,
2010-07,11.106,
2010-10,11.875,
2011-01,11.981,
2011-04,11.890,
2011-07,11.918,
2011-10,12.112,
2012-01,12.167,
2012-04,12.135,
2012-07,12.085,
2012-10,12.208,
2013-01,12.085,
2013-04,12.108,
2013-07,12.117,
2013-10,12.261,
2014-01,12.253,
2014-04,12.204,
2014-07,12.290,
