"",BBK01.OEAC11K,BBK01.OEAC11K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:42,
2002-01,20.092,
2002-04,20.261,
2002-07,20.313,
2002-10,20.439,
2003-01,19.929,
2003-04,18.394,
2003-07,17.978,
2003-10,17.939,
2004-01,17.487,
2004-04,22.382,
2004-07,22.700,
2004-10,21.404,
2005-01,21.122,
2005-04,20.795,
2005-07,20.402,
2005-10,20.125,
2006-01,20.590,
2006-04,20.427,
2006-07,20.332,
2006-10,19.652,
2007-01,19.392,
2007-04,18.380,
2007-07,18.159,
2007-10,18.120,
2008-01,18.008,
2008-04,18.090,
2008-07,18.145,
2008-10,18.201,
2009-01,18.286,
2009-04,19.414,
2009-07,19.490,
2009-10,19.012,
2010-01,18.719,
2010-04,18.371,
2010-07,18.554,
2010-10,18.811,
2011-01,18.614,
2011-04,18.624,
2011-07,18.841,
2011-10,18.869,
2012-01,19.042,
2012-04,19.566,
2012-07,20.115,
2012-10,20.639,
2013-01,20.768,
2013-04,21.110,
2013-07,21.536,
2013-10,21.952,
2014-01,22.241,
2014-04,22.484,
2014-07,22.293,
