"",BBK01.OEHI08U,BBK01.OEHI08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:13,
2002-01,5.850,
2002-04,5.768,
2002-07,5.726,
2002-10,5.882,
2003-01,5.950,
2003-04,5.978,
2003-07,6.080,
2003-10,6.396,
2004-01,6.491,
2004-04,6.539,
2004-07,6.564,
2004-10,6.724,
2005-01,6.785,
2005-04,6.775,
2005-07,6.768,
2005-10,6.758,
2006-01,6.708,
2006-04,6.663,
2006-07,6.522,
2006-10,6.560,
2007-01,6.421,
2007-04,6.266,
2007-07,6.083,
2007-10,6.144,
2008-01,6.107,
2008-04,5.914,
2008-07,5.799,
2008-10,5.817,
2009-01,5.969,
2009-04,6.113,
2009-07,6.403,
2009-10,6.616,
2010-01,6.841,
2010-04,6.951,
2010-07,7.124,
2010-10,7.394,
2011-01,7.560,
2011-04,7.511,
2011-07,7.540,
2011-10,7.653,
2012-01,7.672,
2012-04,7.663,
2012-07,7.654,
2012-10,7.793,
2013-01,7.941,
2013-04,7.973,
2013-07,7.995,
2013-10,8.063,
2014-01,8.086,
2014-04,8.050,
2014-07,8.068,
