"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.GB.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.GB.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / United Kingdom / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:47,
2009-09,13227,
2009-10,14220,
2009-11,13670,
2009-12,13738,
2010-01,14144,
2010-02,14481,
2010-03,15979,
2010-04,16240,
2010-05,16317,
2010-06,16509,
2010-07,17301,
2010-08,18121,
2010-09,18744,
2010-10,19775,
2010-11,19737,
2010-12,19695,
2011-01,20092,
2011-02,20325,
2011-03,20900,
2011-04,21047,
2011-05,21498,
2011-06,21390,
2011-07,21525,
2011-08,21468,
2011-09,21490,
2011-10,18112,
2011-11,20748,
2011-12,21136,
2012-01,22007,
2012-02,22647,
2012-03,22824,
2012-04,22969,
2012-05,23307,
2012-06,23454,
2012-07,23326,
2012-08,23368,
2012-09,22834,
2012-10,22537,
2012-11,22128,
2012-12,22213,
2013-01,20626,
2013-02,20435,
2013-03,20241,
2013-04,20384,
2013-05,20151,
2013-06,19493,
2013-07,19544,
2013-08,19483,
2013-09,19322,
2013-10,19004,
2013-11,19667,
2013-12,18986,
2014-01,18734,
2014-02,18961,
2014-03,18927,
2014-04,19115,
2014-05,19404,
2014-06,20315,
2014-07,20297,
2014-08,20699,
2014-09,21151,
2014-10,21347,
2014-11,21643,
