"",BBK01.OEYL03P,BBK01.OEYL03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:10,
2002-01,0.387,
2002-04,0.389,
2002-07,0.391,
2002-10,0.411,
2003-01,0.420,
2003-04,0.418,
2003-07,0.411,
2003-10,0.421,
2004-01,0.424,
2004-04,0.436,
2004-07,0.465,
2004-10,0.477,
2005-01,0.492,
2005-04,0.492,
2005-07,0.495,
2005-10,0.511,
2006-01,0.517,
2006-04,0.494,
2006-07,0.491,
2006-10,0.504,
2007-01,0.508,
2007-04,0.505,
2007-07,0.511,
2007-10,0.529,
2008-01,0.530,
2008-04,0.533,
2008-07,0.530,
2008-10,0.535,
2009-01,0.513,
2009-04,0.501,
2009-07,0.502,
2009-10,0.505,
2010-01,0.513,
2010-04,0.514,
2010-07,0.517,
2010-10,0.533,
2011-01,0.532,
2011-04,0.527,
2011-07,0.528,
2011-10,0.547,
2012-01,0.564,
2012-04,0.543,
2012-07,0.535,
2012-10,0.548,
2013-01,0.549,
2013-04,0.554,
2013-07,0.556,
2013-10,0.563,
2014-01,0.567,
2014-04,0.574,
2014-07,0.581,
