"",BBFB1.Q.N.DE.AR.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.AR.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:24,
1991-01,0.272,
1991-04,-0.039,
1991-07,-0.040,
1991-10,-0.092,
1992-01,0.112,
1992-04,-0.186,
1992-07,-0.200,
1992-10,-0.167,
1993-01,-0.174,
1993-04,0.103,
1993-07,0.130,
1993-10,-0.060,
1994-01,-0.042,
1994-04,-0.609,
1994-07,0.273,
1994-10,0.079,
1995-01,4.257,
1995-04,-0.037,
1995-07,0.032,
1995-10,-0.035,
1996-01,0.458,
1996-04,-0.006,
1996-07,0.329,
1996-10,-0.571,
1997-01,0.083,
1997-04,-0.640,
1997-07,-7.457,
1997-10,-0.999,
1998-01,0.652,
1998-04,-0.620,
1998-07,0.624,
1998-10,-0.835,
1999-01,1.578,
1999-04,0.430,
1999-07,0.350,
1999-10,-0.771,
2000-01,0.476,
2000-04,-6.820,
2000-07,-0.250,
2000-10,1.124,
2001-01,0.447,
2001-04,-6.489,
2001-07,-0.803,
2001-10,0.376,
2002-01,-0.314,
2002-04,-1.665,
2002-07,0.142,
2002-10,-0.485,
2003-01,-0.125,
2003-04,-0.301,
2003-07,-0.040,
2003-10,-0.052,
2004-01,-0.354,
2004-04,-0.067,
2004-07,0.034,
2004-10,0.030,
2005-01,-0.008,
2005-04,-0.198,
2005-07,0.020,
2005-10,-0.099,
2006-01,-0.198,
2006-04,-0.094,
2006-07,-0.070,
2006-10,-0.137,
2007-01,-0.075,
2007-04,-0.016,
2007-07,0.006,
2007-10,-0.022,
2008-01,0.008,
2008-04,-0.528,
2008-07,-0.019,
2008-10,-0.066,
2009-01,-0.021,
2009-04,-0.058,
2009-07,-0.021,
2009-10,-0.304,
2010-01,-0.068,
2010-04,-0.017,
2010-07,-0.018,
2010-10,-0.014,
2011-01,2.127,
2011-04,0.322,
2011-07,-0.162,
2011-10,-0.072,
2012-01,-0.022,
2012-04,-0.025,
2012-07,0.004,
2012-10,-0.009,
2013-01,-0.006,
2013-04,-,Nothing exists
2013-07,0.109,
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,0.040,Provisional value
2014-07,0.101,Provisional value
2014-10,0.049,Provisional value
