"",BBK01.OECK04Q,BBK01.OECK04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:00,
2002-01,0.097,
2002-04,0.105,
2002-07,0.105,
2002-10,0.105,
2003-01,0.086,
2003-04,0.081,
2003-07,0.071,
2003-10,0.068,
2004-01,0.057,
2004-04,0.053,
2004-07,0.052,
2004-10,0.156,
2005-01,0.150,
2005-04,0.121,
2005-07,0.109,
2005-10,0.108,
2006-01,0.137,
2006-04,0.152,
2006-07,0.179,
2006-10,0.198,
2007-01,0.217,
2007-04,0.223,
2007-07,0.262,
2007-10,0.293,
2008-01,0.319,
2008-04,0.336,
2008-07,0.355,
2008-10,0.313,
2009-01,0.191,
2009-04,0.184,
2009-07,0.193,
2009-10,0.142,
2010-01,0.105,
2010-04,0.096,
2010-07,0.081,
2010-10,0.151,
2011-01,0.140,
2011-04,0.140,
2011-07,0.093,
2011-10,0.070,
2012-01,0.077,
2012-04,0.066,
2012-07,0.057,
2012-10,0.048,
2013-01,0.044,
2013-04,0.041,
2013-07,0.046,
2013-10,0.039,
2014-01,0.038,
2014-04,0.037,
2014-07,0.040,
