"",BBSF2.M.1.T.00000.GEF01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEF01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Mixed funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:04,
2009-09,2070,
2009-10,623,
2009-11,667,
2009-12,3718,
2010-01,2318,
2010-02,-105,
2010-03,-312,
2010-04,2989,
2010-05,963,
2010-06,-448,
2010-07,2527,
2010-08,1367,
2010-09,4007,
2010-10,571,
2010-11,1221,
2010-12,961,
2011-01,452,
2011-02,74,
2011-03,784,
2011-04,2265,
2011-05,261,
2011-06,622,
2011-07,1983,
2011-08,-515,
2011-09,533,
2011-10,2667,
2011-11,1013,
2011-12,857,
2012-01,1294,
2012-02,6887,
2012-03,346,
2012-04,1901,
2012-05,-49,
2012-06,4335,
2012-07,1471,
2012-08,36,
2012-09,-150,
2012-10,719,
2012-11,-309,
2012-12,1545,
2013-01,2594,
2013-02,631,
2013-03,-945,
2013-04,1237,
2013-05,-434,
2013-06,1611,
2013-07,3970,
2013-08,391,
2013-09,2665,
2013-10,1907,
2013-11,943,
2013-12,2607,
2014-01,511,
2014-02,1051,
2014-03,602,
2014-04,1026,
2014-05,1282,
2014-06,1180,
2014-07,-1043,
2014-08,527,
2014-09,1475,
2014-10,12400,
2014-11,3508,
