"",BBK01.CEH003,BBK01.CEH003_FLAGS
"",Acquisition of financial assets debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:54,
1991-01,6.4,
1991-04,41.9,
1991-07,40.3,
1991-10,120.3,
1992-01,21.8,
1992-04,41.7,
1992-07,76.1,
1992-10,103.0,
1993-01,50.9,
1993-04,72.2,
1993-07,58.8,
1993-10,180.2,
1994-01,-14.7,
1994-04,38.2,
1994-07,21.3,
1994-10,155.3,
1995-01,12.7,
1995-04,64.4,
1995-07,93.4,
1995-10,176.6,
1996-01,66.2,
1996-04,50.1,
1996-07,70.8,
1996-10,185.7,
1997-01,77.8,
1997-04,102.2,
1997-07,60.3,
1997-10,166.9,
1998-01,93.2,
1998-04,135.7,
1998-07,80.2,
1998-10,186.4,
1999-01,83.3,
1999-04,99.5,
1999-07,132.3,
1999-10,131.6,
2000-01,124.1,
2000-04,17.4,
2000-07,55.8,
2000-10,178.2,
2001-01,159.1,
2001-04,-25.4,
2001-07,48.1,
2001-10,14.6,
2002-01,-25.5,
2002-04,52.6,
2002-07,67.1,
2002-10,107.6,
2003-01,54.3,
2003-04,51.0,
2003-07,-61.9,
2003-10,84.0,
2004-01,43.6,
2004-04,54.9,
2004-07,72.2,
2004-10,74.1,
2005-01,74.0,
2005-04,107.4,
2005-07,38.1,
2005-10,-2.2,
2006-01,102.2,
2006-04,85.7,
2006-07,74.9,
2006-10,118.2,
2007-01,99.2,
2007-04,99.8,
2007-07,156.7,
2007-10,228.4,
2008-01,19.1,
2008-04,48.2,
2008-07,241.2,
2008-10,118.6,
2009-01,-227.1,
2009-04,56.2,
2009-07,-233.5,
2009-10,-83.1,
2010-01,10.8,
2010-04,210.1,
2010-07,-284.8,
2010-10,-9.2,
2011-01,-153.4,
2011-04,-33.9,
2011-07,231.9,
2011-10,13.2,
2012-01,398.2,
2012-04,93.5,
2012-07,-108.0,
2012-10,-246.5,
2013-01,-189.0,
2013-04,-98.0,
2013-07,-138.6,
2013-10,-103.3,
2014-01,-48.0,
