"",BBK01.OEYB21P,BBK01.OEYB21P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:02,
2002-01,0.629,
2002-04,0.636,
2002-07,0.641,
2002-10,0.700,
2003-01,0.771,
2003-04,0.760,
2003-07,0.778,
2003-10,0.819,
2004-01,0.797,
2004-04,0.795,
2004-07,0.867,
2004-10,0.860,
2005-01,0.885,
2005-04,0.930,
2005-07,0.942,
2005-10,0.966,
2006-01,0.970,
2006-04,0.953,
2006-07,0.946,
2006-10,1.079,
2007-01,1.068,
2007-04,1.054,
2007-07,1.043,
2007-10,1.041,
2008-01,1.043,
2008-04,1.028,
2008-07,1.042,
2008-10,1.015,
2009-01,0.994,
2009-04,0.985,
2009-07,0.972,
2009-10,0.969,
2010-01,0.924,
2010-04,0.995,
2010-07,0.980,
2010-10,1.171,
2011-01,1.295,
2011-04,1.280,
2011-07,0.843,
2011-10,1.398,
2012-01,1.088,
2012-04,1.100,
2012-07,1.069,
2012-10,1.242,
2013-01,1.067,
2013-04,1.159,
2013-07,1.113,
2013-10,1.045,
2014-01,1.048,
2014-04,0.941,
2014-07,0.878,
