"",BBK01.CELU0J,BBK01.CELU0J_FLAGS
"",short-term savings deposits  debtor: Total            creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:42,
1999-01,7.4,
1999-04,4.8,
1999-07,-0.8,
1999-10,-4.1,
2000-01,-11.8,
2000-04,-15.8,
2000-07,-12.4,
2000-10,-11.9,
2001-01,-3.5,
2001-04,0.7,
2001-07,3.3,
2001-10,11.5,
2002-01,5.0,
2002-04,-5.6,
2002-07,2.5,
2002-10,9.3,
2003-01,11.2,
2003-04,5.1,
2003-07,7.9,
2003-10,2.9,
2004-01,4.6,
2004-04,3.4,
2004-07,3.5,
2004-10,2.0,
2005-01,2.6,
2005-04,1.2,
2005-07,1.2,
2005-10,-2.5,
2006-01,-1.1,
2006-04,-5.1,
2006-07,-9.4,
2006-10,-14.6,
2007-01,-10.5,
2007-04,-9.0,
2007-07,-10.0,
2007-10,-9.9,
2008-01,-5.8,
2008-04,-3.9,
2008-07,-8.7,
2008-10,-2.4,
2009-01,13.3,
2009-04,10.5,
2009-07,13.1,
2009-10,10.5,
2010-01,12.9,
2010-04,5.2,
2010-07,8.8,
2010-10,8.4,
2011-01,6.8,
2011-04,-3.3,
2011-07,-1.6,
2011-10,-0.1,
2012-01,7.8,
2012-04,-0.4,
2012-07,2.3,
2012-10,1.9,
2013-01,1.7,
2013-04,0.3,
2013-07,0.3,
2013-10,1.2,
2014-01,-0.4,
2014-04,-1.4,
2014-07,0.7,
