"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.BE.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.BE.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Belgium,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:54,
2009-09,8349,
2009-10,8407,
2009-11,8489,
2009-12,8618,
2010-01,9011,
2010-02,9019,
2010-03,9056,
2010-04,9357,
2010-05,9598,
2010-06,9694,
2010-07,9997,
2010-08,10643,
2010-09,10450,
2010-10,11156,
2010-11,10782,
2010-12,10178,
2011-01,9838,
2011-02,9956,
2011-03,9903,
2011-04,9814,
2011-05,9905,
2011-06,9817,
2011-07,9671,
2011-08,9910,
2011-09,9989,
2011-10,9541,
2011-11,9075,
2011-12,9825,
2012-01,9633,
2012-02,10411,
2012-03,10708,
2012-04,11092,
2012-05,11664,
2012-06,11583,
2012-07,12133,
2012-08,12000,
2012-09,12274,
2012-10,12501,
2012-11,13122,
2012-12,13859,
2013-01,13607,
2013-02,13747,
2013-03,13601,
2013-04,13799,
2013-05,13904,
2013-06,13444,
2013-07,13741,
2013-08,13752,
2013-09,14250,
2013-10,14592,
2013-11,14562,
2013-12,14603,
2014-01,15179,
2014-02,15301,
2014-03,16065,
2014-04,16007,
2014-05,16554,
2014-06,16695,
2014-07,16879,
2014-08,17152,
2014-09,16878,
2014-10,16894,
2014-11,17290,
