"",BBK01.OEBM01P,BBK01.OEBM01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:18,
2002-01,0.027,
2002-04,0.016,
2002-07,0.027,
2002-10,0.028,
2003-01,0.018,
2003-04,0.008,
2003-07,0.028,
2003-10,0.014,
2004-01,0.011,
2004-04,0.015,
2004-07,0.005,
2004-10,0.005,
2005-01,0.017,
2005-04,0.011,
2005-07,0.008,
2005-10,0.019,
2006-01,0.015,
2006-04,0.008,
2006-07,0.012,
2006-10,0.007,
2007-01,0.014,
2007-04,0.029,
2007-07,0.079,
2007-10,0.048,
2008-01,0.042,
2008-04,0.034,
2008-07,0.020,
2008-10,0.023,
2009-01,0.073,
2009-04,0.081,
2009-07,0.027,
2009-10,0.018,
2010-01,0.050,
2010-04,0.048,
2010-07,0.044,
2010-10,0.009,
2011-01,0.036,
2011-04,0.041,
2011-07,0.052,
2011-10,0.055,
2012-01,0.080,
2012-04,0.056,
2012-07,0.042,
2012-10,0.033,
2013-01,0.075,
2013-04,0.043,
2013-07,0.026,
2013-10,0.101,
2014-01,0.062,
2014-04,0.103,
2014-07,0.035,
