"",BBK01.OEYM02S,BBK01.OEYM02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:41,
2002-01,0.112,
2002-04,0.050,
2002-07,0.039,
2002-10,0.039,
2003-01,0.052,
2003-04,0.046,
2003-07,0.038,
2003-10,0.044,
2004-01,0.059,
2004-04,0.051,
2004-07,0.048,
2004-10,0.030,
2005-01,0.031,
2005-04,0.024,
2005-07,0.025,
2005-10,0.029,
2006-01,0.036,
2006-04,0.051,
2006-07,0.020,
2006-10,0.015,
2007-01,0.029,
2007-04,0.033,
2007-07,0.022,
2007-10,0.011,
2008-01,0.026,
2008-04,0.055,
2008-07,0.020,
2008-10,0.006,
2009-01,0.029,
2009-04,0.033,
2009-07,0.026,
2009-10,0.017,
2010-01,0.049,
2010-04,0.044,
2010-07,0.017,
2010-10,0.010,
2011-01,0.017,
2011-04,0.007,
2011-07,0.033,
2011-10,0.008,
2012-01,0.041,
2012-04,0.008,
2012-07,0.029,
2012-10,0.018,
2013-01,0.066,
2013-04,0.111,
2013-07,0.091,
2013-10,0.015,
2014-01,0.021,
2014-04,0.214,
2014-07,0.171,
