"",BBK01.OEAO06S,BBK01.OEAO06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:27,
2002-01,10.743,
2002-04,10.526,
2002-07,10.547,
2002-10,10.893,
2003-01,10.958,
2003-04,10.838,
2003-07,10.817,
2003-10,11.026,
2004-01,10.979,
2004-04,10.817,
2004-07,10.753,
2004-10,10.928,
2005-01,11.870,
2005-04,11.774,
2005-07,11.792,
2005-10,11.994,
2006-01,12.105,
2006-04,12.031,
2006-07,11.924,
2006-10,12.086,
2007-01,12.237,
2007-04,12.199,
2007-07,12.214,
2007-10,12.484,
2008-01,12.416,
2008-04,12.371,
2008-07,12.223,
2008-10,12.591,
2009-01,12.620,
2009-04,12.635,
2009-07,12.772,
2009-10,13.068,
2010-01,13.227,
2010-04,13.294,
2010-07,13.363,
2010-10,13.723,
2011-01,13.836,
2011-04,13.760,
2011-07,13.777,
2011-10,13.975,
2012-01,14.064,
2012-04,14.041,
2012-07,14.037,
2012-10,14.212,
2013-01,14.234,
2013-04,14.196,
2013-07,14.233,
2013-10,14.414,
2014-01,14.482,
2014-04,14.464,
2014-07,14.574,
