"",BBK01.TZ5379O,BBK01.TZ5379O_FLAGS
"","Marketable instruments (from June 2010, excluding repos with central counterparties) / German contribution / Financial transactions (flows) / Seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:08,
1999-01,-0.5,
1999-02,1.8,
1999-03,2.8,
1999-04,4.6,
1999-05,6.8,
1999-06,-1.3,
1999-07,-0.4,
1999-08,3.8,
1999-09,5.5,
1999-10,2.5,
1999-11,10.3,
1999-12,1.2,
2000-01,-2.7,
2000-02,1.0,
2000-03,1.3,
2000-04,-0.9,
2000-05,1.6,
2000-06,-1.2,
2000-07,0.5,
2000-08,-0.6,
2000-09,-3.8,
2000-10,2.2,
2000-11,-1.8,
2000-12,2.0,
2001-01,-0.1,
2001-02,2.1,
2001-03,2.3,
2001-04,1.6,
2001-05,2.5,
2001-06,1.3,
2001-07,4.3,
2001-08,4.3,
2001-09,2.4,
2001-10,3.9,
2001-11,0.7,
2001-12,5.2,
2002-01,0.3,
2002-02,-0.1,
2002-03,1.1,
2002-04,1.7,
2002-05,4.6,
2002-06,-3.6,
2002-07,0.3,
2002-08,1.9,
2002-09,3.5,
2002-10,3.2,
2002-11,0.5,
2002-12,5.2,
2003-01,0.1,
2003-02,10.8,
2003-03,-5.9,
2003-04,1.3,
2003-05,1.1,
2003-06,-2.3,
2003-07,0.2,
2003-08,-8.7,
2003-09,3.0,
2003-10,2.9,
2003-11,2.7,
2003-12,6.9,
2004-01,-5.4,
2004-02,-3.7,
2004-03,0.9,
2004-04,-1.7,
2004-05,-0.3,
2004-06,-0.5,
2004-07,2.9,
2004-08,-3.1,
2004-09,-1.9,
2004-10,-0.5,
2004-11,-1.1,
2004-12,-1.3,
2005-01,1.7,
2005-02,-0.8,
2005-03,-2.8,
2005-04,1.7,
2005-05,-1.9,
2005-06,3.3,
2005-07,1.0,
2005-08,3.6,
2005-09,-3.7,
2005-10,2.9,
2005-11,-2.1,
2005-12,-1.2,
2006-01,-0.6,
2006-02,-2.1,
2006-03,8.6,
2006-04,-3.4,
2006-05,4.6,
2006-06,-2.4,
2006-07,-3.1,
2006-08,4.8,
2006-09,1.9,
2006-10,-4.9,
2006-11,-5.0,
2006-12,1.9,
2007-01,6.5,
2007-02,1.7,
2007-03,6.6,
2007-04,-2.7,
2007-05,1.2,
2007-06,3.8,
2007-07,2.9,
2007-08,-5.1,
2007-09,-2.0,
2007-10,-1.5,
2007-11,9.6,
2007-12,-2.1,
2008-01,15.5,
2008-02,-2.7,
2008-03,-0.8,
2008-04,8.1,
2008-05,-6.3,
2008-06,3.0,
2008-07,0.0,
2008-08,-5.0,
2008-09,-0.3,
2008-10,-1.4,
2008-11,16.0,
2008-12,6.1,
2009-01,-10.6,
2009-02,2.4,
2009-03,-2.5,
2009-04,8.7,
2009-05,-0.7,
2009-06,-9.0,
2009-07,-4.5,
2009-08,-16.8,
2009-09,6.4,
2009-10,-1.2,
2009-11,-4.1,
2009-12,10.6,
2010-01,-10.2,
2010-02,3.4,
2010-03,-0.3,
2010-04,15.9,
2010-05,-0.1,
2010-06,5.0,
2010-07,-7.6,
2010-08,-1.3,
2010-09,4.1,
2010-10,-5.3,
2010-11,0.8,
2010-12,-1.8,
2011-01,-2.2,
2011-02,-2.6,
2011-03,-0.5,
2011-04,0.6,
2011-05,-3.4,
2011-06,3.6,
2011-07,-3.4,
2011-08,2.2,
2011-09,-4.5,
2011-10,-6.4,
2011-11,3.7,
2011-12,-2.9,
2012-01,-1.7,
2012-02,1.5,
2012-03,-2.6,
2012-04,-3.0,
2012-05,-4.5,
2012-06,-0.6,
2012-07,3.6,
2012-08,-3.0,
2012-09,-0.4,
2012-10,1.7,
2012-11,-0.1,
2012-12,-2.2,
2013-01,-1.8,
2013-02,2.2,
2013-03,0.0,
2013-04,5.4,
2013-05,-4.0,
2013-06,-3.3,
2013-07,3.2,
2013-08,-4.5,
2013-09,-1.0,
2013-10,5.0,
2013-11,-5.6,
2013-12,-0.3,
2014-01,-1.5,
2014-02,1.7,
2014-03,-5.1,
2014-04,2.2,
2014-05,-2.0,
2014-06,4.6,
2014-07,0.9,
2014-08,3.3,
2014-09,-2.4,
2014-10,1.5,
2014-11,0.3,
2014-12,-6.0,Provisional value
2015-01,5.5,
