"",BBK01.OEHB08T,BBK01.OEHB08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:22,
2002-01,7.420,
2002-04,7.480,
2002-07,7.518,
2002-10,7.622,
2003-01,7.625,
2003-04,7.647,
2003-07,7.723,
2003-10,7.833,
2004-01,7.796,
2004-04,7.834,
2004-07,7.842,
2004-10,7.866,
2005-01,7.750,
2005-04,7.746,
2005-07,7.721,
2005-10,7.738,
2006-01,7.651,
2006-04,7.681,
2006-07,7.668,
2006-10,7.661,
2007-01,7.584,
2007-04,7.582,
2007-07,7.529,
2007-10,7.534,
2008-01,7.484,
2008-04,7.509,
2008-07,7.478,
2008-10,7.487,
2009-01,7.438,
2009-04,7.462,
2009-07,7.461,
2009-10,7.476,
2010-01,7.460,
2010-04,7.516,
2010-07,7.524,
2010-10,7.536,
2011-01,7.439,
2011-04,7.452,
2011-07,7.464,
2011-10,7.453,
2012-01,7.375,
2012-04,7.382,
2012-07,7.464,
2012-10,7.513,
2013-01,7.487,
2013-04,7.563,
2013-07,7.657,
2013-10,7.702,
2014-01,7.713,
2014-04,7.791,
2014-07,7.883,
