"",BBK01.OEAH15V,BBK01.OEAH15V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:51,
2002-01,53.760,
2002-04,53.943,
2002-07,54.610,
2002-10,56.275,
2003-01,54.922,
2003-04,54.154,
2003-07,54.332,
2003-10,56.671,
2004-01,55.616,
2004-04,55.994,
2004-07,56.453,
2004-10,57.521,
2005-01,58.618,
2005-04,58.820,
2005-07,60.996,
2005-10,60.713,
2006-01,59.688,
2006-04,60.032,
2006-07,59.880,
2006-10,61.282,
2007-01,61.231,
2007-04,61.489,
2007-07,61.463,
2007-10,63.703,
2008-01,63.832,
2008-04,58.697,
2008-07,60.208,
2008-10,62.447,
2009-01,63.700,
2009-04,63.917,
2009-07,64.001,
2009-10,64.305,
2010-01,64.189,
2010-04,64.516,
2010-07,64.929,
2010-10,65.901,
2011-01,65.345,
2011-04,65.426,
2011-07,66.724,
2011-10,68.703,
2012-01,69.074,
2012-04,70.267,
2012-07,69.715,
2012-10,70.864,
2013-01,70.547,
2013-04,71.320,
2013-07,71.969,
2013-10,72.993,
2014-01,73.155,
2014-04,74.408,
2014-07,75.352,
