"",BBK01.OEHL03V,BBK01.OEHL03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:46,
2002-01,0.669,
2002-04,0.625,
2002-07,0.628,
2002-10,0.612,
2003-01,0.618,
2003-04,0.574,
2003-07,0.548,
2003-10,0.502,
2004-01,0.490,
2004-04,0.469,
2004-07,0.459,
2004-10,0.421,
2005-01,0.412,
2005-04,0.399,
2005-07,0.403,
2005-10,0.376,
2006-01,0.365,
2006-04,0.359,
2006-07,0.350,
2006-10,0.340,
2007-01,0.359,
2007-04,0.366,
2007-07,0.375,
2007-10,0.381,
2008-01,0.395,
2008-04,0.407,
2008-07,0.435,
2008-10,0.496,
2009-01,0.430,
2009-04,0.359,
2009-07,0.308,
2009-10,0.246,
2010-01,0.228,
2010-04,0.201,
2010-07,0.192,
2010-10,0.174,
2011-01,0.162,
2011-04,0.153,
2011-07,0.155,
2011-10,0.161,
2012-01,0.147,
2012-04,0.129,
2012-07,0.114,
2012-10,0.101,
2013-01,0.096,
2013-04,0.091,
2013-07,0.090,
2013-10,0.084,
2014-01,0.087,
2014-04,0.085,
2014-07,0.084,
