"",BBK01.OEXM04L,BBK01.OEXM04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:50,
2002-01,3.240,
2002-04,3.581,
2002-07,3.919,
2002-10,3.596,
2003-01,3.808,
2003-04,4.414,
2003-07,2.960,
2003-10,2.712,
2004-01,4.112,
2004-04,4.066,
2004-07,3.291,
2004-10,2.857,
2005-01,3.326,
2005-04,4.873,
2005-07,7.109,
2005-10,4.305,
2006-01,5.692,
2006-04,5.677,
2006-07,6.027,
2006-10,4.824,
2007-01,6.656,
2007-04,10.388,
2007-07,7.535,
2007-10,9.157,
2008-01,9.342,
2008-04,11.777,
2008-07,12.148,
2008-10,8.060,
2009-01,7.336,
2009-04,12.255,
2009-07,6.263,
2009-10,6.446,
2010-01,5.701,
2010-04,6.641,
2010-07,5.842,
2010-10,6.457,
2011-01,7.150,
2011-04,7.651,
2011-07,7.566,
2011-10,9.117,
2012-01,8.443,
2012-04,10.552,
2012-07,8.454,
2012-10,9.118,
2013-01,6.919,
2013-04,7.029,
2013-07,6.043,
2013-10,6.967,
2014-01,7.186,
2014-04,7.231,
2014-07,7.688,
