"",BBK01.OEHJ04M,BBK01.OEHJ04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:33,
2002-01,1.030,
2002-04,1.067,
2002-07,1.188,
2002-10,1.149,
2003-01,1.120,
2003-04,1.050,
2003-07,1.101,
2003-10,1.174,
2004-01,1.073,
2004-04,1.070,
2004-07,1.139,
2004-10,1.086,
2005-01,1.073,
2005-04,1.085,
2005-07,1.146,
2005-10,1.182,
2006-01,1.274,
2006-04,1.211,
2006-07,1.292,
2006-10,1.363,
2007-01,1.403,
2007-04,1.383,
2007-07,1.668,
2007-10,1.638,
2008-01,1.602,
2008-04,1.709,
2008-07,1.920,
2008-10,2.123,
2009-01,1.834,
2009-04,1.427,
2009-07,1.630,
2009-10,1.433,
2010-01,1.396,
2010-04,1.314,
2010-07,1.516,
2010-10,1.470,
2011-01,1.403,
2011-04,1.444,
2011-07,1.626,
2011-10,1.693,
2012-01,1.593,
2012-04,1.435,
2012-07,1.329,
2012-10,0.980,
2013-01,1.044,
2013-04,0.934,
2013-07,0.982,
2013-10,0.953,
2014-01,0.961,
2014-04,1.135,
2014-07,0.964,
