"",BBK01.OEBB20Q,BBK01.OEBB20Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:22,
2002-01,3.782,
2002-04,3.786,
2002-07,3.789,
2002-10,3.798,
2003-01,3.803,
2003-04,3.823,
2003-07,3.857,
2003-10,3.857,
2004-01,3.838,
2004-04,3.888,
2004-07,3.897,
2004-10,3.837,
2005-01,4.843,
2005-04,4.903,
2005-07,5.019,
2005-10,5.133,
2006-01,5.224,
2006-04,5.282,
2006-07,5.329,
2006-10,5.456,
2007-01,5.462,
2007-04,5.668,
2007-07,5.654,
2007-10,5.641,
2008-01,5.632,
2008-04,5.703,
2008-07,5.700,
2008-10,5.686,
2009-01,5.736,
2009-04,6.751,
2009-07,6.758,
2009-10,6.764,
2010-01,6.739,
2010-04,6.710,
2010-07,6.834,
2010-10,6.825,
2011-01,6.744,
2011-04,6.718,
2011-07,6.741,
2011-10,6.737,
2012-01,6.754,
2012-04,6.787,
2012-07,6.861,
2012-10,6.886,
2013-01,6.934,
2013-04,6.987,
2013-07,7.051,
2013-10,7.126,
2014-01,7.188,
2014-04,7.286,
2014-07,7.413,
