"",BBK01.BQ1724,BBK01.BQ1724_FLAGS
"","Central, state and local government debt by creditor - debt owed to other domestic non-banks",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:36:32,
1991-01,133418,comment
1991-04,137986,
1991-07,137126,
1991-10,139713,
1992-01,145431,
1992-04,146542,
1992-07,138378,
1992-10,139957,
1993-01,131813,
1993-04,128816,
1993-07,128426,
1993-10,128308,
1994-01,134998,
1994-04,134907,
1994-07,145604,
1994-10,154010,
1995-01,177136,
1995-04,182247,
1995-07,186675,
1995-10,187323,
1996-01,181614,
1996-04,180568,
1996-07,183611,
1996-10,185055,
1997-01,168782,
1997-04,174148,
1997-07,162668,
1997-10,168482,
1998-01,158488,
1998-04,156959,
1998-07,147160,
1998-10,161538,
1999-01,172038,
1999-04,179861,
1999-07,181125,
1999-10,180340,
2000-01,190779,
2000-04,185521,
2000-07,188640,
2000-10,200883,
2001-01,201004,
2001-04,203259,
2001-07,213535,
2001-10,230890,
2002-01,232639,
2002-04,225385,
2002-07,228210,
2002-10,238390,
2003-01,240768,
2003-04,252977,
2003-07,270232,
2003-10,301956,
2004-01,299304,
2004-04,306463,
2004-07,299532,
2004-10,307345,
2005-01,302289,
2005-04,304806,
2005-07,303551,
2005-10,312609,
2006-01,308814,
2006-04,320695,
2006-07,331706,
2006-10,329585,
2007-01,322409,
2007-04,320672,
2007-07,310741,
2007-10,317473,
2008-01,300452,
2008-04,286544,
2008-07,288728,
2008-10,314588,
2009-01,307697,
2009-04,306395,
2009-07,304443,
2009-10,317743,
2010-01,321691,
2010-04,304557,
2010-07,300080,
2010-10,382670,
2011-01,367953,
2011-04,358791,
2011-07,377316,
2011-10,408934,
2012-01,347999,
2012-04,317771,
2012-07,277624,
2012-10,284374,
2013-01,259087,
2013-04,283254,
2013-07,270699,
2013-10,262550,
2014-01,235781,Provisional value
2014-04,249334,Provisional value
2014-07,267430,Provisional value
"",General: Excluding hospitals,
