"",BBFB1.Q.N.DE.D09.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:10,
1991-01,757.813,
1991-04,2113.800,
1991-07,-1002.434,
1991-10,391.891,
1992-01,485.369,
1992-04,-44.075,
1992-07,-1678.879,
1992-10,697.750,
1993-01,-524.347,
1993-04,-625.947,
1993-07,-621.460,
1993-10,796.879,
1994-01,970.823,
1994-04,986.866,
1994-07,232.539,
1994-10,3804.403,
1995-01,-22.671,
1995-04,-0.380,
1995-07,2.731,
1995-10,-2.906,
1996-01,0.457,
1996-04,-0.240,
1996-07,0.116,
1996-10,-0.162,
1997-01,-0.011,
1997-04,0.115,
1997-07,-0.593,
1997-10,-0.857,
1998-01,0.657,
1998-04,0.873,
1998-07,3.302,
1998-10,7.183,
1999-01,6.032,
1999-04,3.838,
1999-07,5.224,
1999-10,7.996,
2000-01,7.979,
2000-04,12.242,
2000-07,8.910,
2000-10,16.776,
2001-01,7.698,
2001-04,11.269,
2001-07,10.284,
2001-10,8.582,
2002-01,-0.035,
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-35.999,
2003-04,-70.000,
2003-07,66.985,
2003-10,9.000,
2004-01,10.000,
2004-04,-39.000,
2004-07,127.000,
2004-10,-8.000,
2005-01,-81.987,
2005-04,-23.000,
2005-07,97.000,
2005-10,-59.000,
2006-01,7.000,
2006-04,39.000,
2006-07,-7.000,
2006-10,24.000,
2007-01,11.000,
2007-04,148.000,
2007-07,-125.000,
2007-10,-139.000,
2008-01,143.000,
2008-04,-5.000,
2008-07,29.000,
2008-10,-198.000,
2009-01,85.000,
2009-04,-32.000,
2009-07,11815.780,
2009-10,-9.000,
2010-01,-45.000,
2010-04,159.000,
2010-07,-19.000,
2010-10,-156.000,
2011-01,134.000,
2011-04,-113.000,
2011-07,-46.000,
2011-10,-28.000,
2012-01,8.998,
2012-04,-3.000,
2012-07,8.000,
2012-10,38.004,
2013-01,-48.013,
2013-04,5.006,
2013-07,-0.100,
2013-10,143.996,
2014-01,-150.931,
2014-04,103.000,
2014-07,-66.004,
2014-10,32.999,
