"",BBK01.OEYB04I,BBK01.OEYB04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:38,
2002-01,70.902,
2002-04,75.536,
2002-07,69.681,
2002-10,67.774,
2003-01,65.667,
2003-04,54.745,
2003-07,55.731,
2003-10,53.605,
2004-01,53.088,
2004-04,52.689,
2004-07,52.294,
2004-10,51.529,
2005-01,51.628,
2005-04,51.862,
2005-07,52.670,
2005-10,53.800,
2006-01,51.718,
2006-04,52.986,
2006-07,63.843,
2006-10,62.068,
2007-01,60.375,
2007-04,59.595,
2007-07,58.581,
2007-10,58.352,
2008-01,57.868,
2008-04,57.553,
2008-07,56.923,
2008-10,55.620,
2009-01,54.967,
2009-04,54.496,
2009-07,64.654,
2009-10,64.478,
2010-01,63.979,
2010-04,64.786,
2010-07,64.947,
2010-10,65.235,
2011-01,64.997,
2011-04,64.776,
2011-07,64.550,
2011-10,64.614,
2012-01,64.405,
2012-04,63.878,
2012-07,63.516,
2012-10,62.716,
2013-01,61.866,
2013-04,61.964,
2013-07,61.803,
2013-10,61.322,
2014-01,59.626,
2014-04,59.343,
2014-07,58.391,
