"",BBFN1.M.DE.N.1.A.PT.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PT.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Portugal,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:18,
1975-12,0.001,
1976-01,0.001,
1976-02,0.001,
1976-03,0.001,
1976-04,0.001,
1976-05,0.001,
1976-06,0.001,
1976-07,0.002,
1976-08,0.001,
1976-09,0.002,
1976-10,0.001,
1976-11,0.001,
1976-12,0.001,
1977-01,0.001,
1977-02,0.002,
1977-03,0.002,
1977-04,0.001,
1977-05,0.002,
1977-06,0.002,
1977-07,0.002,
1977-08,0.002,
1977-09,0.002,
1977-10,0.001,
1977-11,0.001,
1977-12,0.001,
1978-01,0.001,
1978-02,0.001,
1978-03,0.002,
1978-04,0.001,
1978-05,0.001,
1978-06,0.001,
1978-07,0.002,
1978-08,0.001,
1978-09,0.002,
1978-10,0.001,
1978-11,0.001,
1978-12,0.001,
1979-01,0.001,
1979-02,0.001,
1979-03,0.001,
1979-04,0.001,
1979-05,0.001,
1979-06,0.003,
1979-07,0.002,
1979-08,0.003,
1979-09,0.003,
1979-10,0.001,
1979-11,0.001,
1979-12,0.001,
1980-01,0.002,
1980-02,0.002,
1980-03,0.002,
1980-04,0.002,
1980-05,0.002,
1980-06,0.002,
1980-07,0.003,
1980-08,0.003,
1980-09,0.003,
1980-10,0.003,
1980-11,0.002,
1980-12,0.002,
1981-01,0.002,
1981-02,0.001,
1981-03,0.002,
1981-04,0.002,
1981-05,0.002,
1981-06,0.003,
1981-07,0.004,
1981-08,0.003,
1981-09,0.003,
1981-10,0.002,
1981-11,0.002,
1981-12,0.002,
1982-01,0.002,
1982-02,0.003,
1982-03,0.002,
1982-04,0.002,
1982-05,0.003,
1982-06,0.003,
1982-07,0.003,
1982-08,0.002,
1982-09,0.002,
1982-10,0.002,
1982-11,0.002,
1982-12,0.002,
1983-01,0.002,
1983-02,0.001,
1983-03,0.001,
1983-04,0.002,
1983-05,0.002,
1983-06,0.002,
1983-07,0.003,
1983-08,0.004,
1983-09,0.004,
1983-10,0.002,
1983-11,0.002,
1983-12,0.002,
1984-01,0.002,
1984-02,0.001,
1984-03,0.001,
1984-04,0.001,
1984-05,0.002,
1984-06,0.002,
1984-07,0.002,
1984-08,0.003,
1984-09,0.006,
1984-10,0.005,
1984-11,0.004,
1984-12,0.005,
1985-01,0.005,
1985-02,0.005,
1985-03,0.005,
1985-04,0.005,
1985-05,0.005,
1985-06,0.005,
1985-07,0.007,
1985-08,0.006,
1985-09,0.005,
1985-10,0.005,
1985-11,0.004,
1985-12,0.004,
1986-01,0.004,
1986-02,0.004,
1986-03,0.004,
1986-04,0.005,
1986-05,0.004,
1986-06,0.005,
1986-07,0.005,
1986-08,0.006,
1986-09,0.003,
1986-10,0.004,
1986-11,0.002,
1986-12,0.002,
1987-01,0.002,
1987-02,0.002,
1987-03,0.002,
1987-04,0.002,
1987-05,0.002,
1987-06,0.004,
1987-07,0.003,
1987-08,0.002,
1987-09,0.003,
1987-10,0.003,
1987-11,0.002,
1987-12,0.002,
1988-01,0.002,
1988-02,0.002,
1988-03,0.002,
1988-04,0.002,
1988-05,0.002,
1988-06,0.003,
1988-07,0.004,
1988-08,0.004,
1988-09,0.004,
1988-10,0.003,
1988-11,0.003,
1988-12,0.003,
1989-01,0.002,
1989-02,0.003,
1989-03,0.003,
1989-04,0.002,
1989-05,0.002,
1989-06,0.002,
1989-07,0.003,
1989-08,0.003,
1989-09,0.004,
1989-10,0.004,
1989-11,0.004,
1989-12,0.004,
1990-01,0.003,
1990-02,0.003,
1990-03,0.007,
1990-04,0.006,
1990-05,0.014,
1990-06,0.005,
1990-07,0.005,
1990-08,0.004,
1990-09,0.004,
1990-10,0.003,
1990-11,0.003,
1990-12,0.003,
1991-01,0.002,
1991-02,0.004,
1991-03,0.003,
1991-04,0.003,
1991-05,0.003,
1991-06,0.003,
1991-07,0.007,
1991-08,0.006,
1991-09,0.009,
1991-10,0.005,
1991-11,0.004,
1991-12,0.004,
1992-01,0.004,
1992-02,0.023,
1992-03,0.291,
1992-04,0.433,
1992-05,0.747,
1992-06,1.259,
1992-07,1.514,
1992-08,1.609,
1992-09,1.693,
1992-10,1.825,
1992-11,2.111,
1992-12,1.239,
1993-01,1.077,
1993-02,1.165,
1993-03,1.399,
1993-04,1.252,
1993-05,1.205,
1993-06,1.035,
1993-07,1.007,
1993-08,1.013,
1993-09,1.044,
1993-10,1.443,
1993-11,1.683,
1993-12,1.451,
1994-01,1.207,
1994-02,1.617,
1994-03,1.646,
1994-04,1.680,
1994-05,1.780,
1994-06,1.646,
1994-07,1.354,
1994-08,1.375,
1994-09,1.372,
1994-10,1.385,
1994-11,1.420,
1994-12,0.903,
1995-01,1.494,
1995-02,1.758,
1995-03,2.000,
1995-04,1.933,
1995-05,2.074,
1995-06,1.903,
1995-07,2.007,
1995-08,2.006,
1995-09,2.231,
1995-10,2.495,
1995-11,2.732,
1995-12,1.161,
1996-01,2.478,
1996-02,2.667,
1996-03,2.780,
1996-04,2.505,
1996-05,2.512,
1996-06,2.531,
1996-07,2.594,
1996-08,2.441,
1996-09,2.332,
1996-10,2.330,
1996-11,2.160,
1996-12,0.666,
1997-01,1.398,
1997-02,1.547,
1997-03,1.434,
1997-04,1.525,
1997-05,1.630,
1997-06,1.507,
1997-07,1.869,
1997-08,2.051,
1997-09,2.182,
1997-10,2.858,
1997-11,2.865,
1997-12,1.610,
1998-01,2.614,
1998-02,2.688,
1998-03,3.104,
1998-04,3.133,
1998-05,2.732,
1998-06,2.430,
1998-07,2.695,
1998-08,2.410,
1998-09,2.591,
1998-10,3.014,
1998-11,2.746,
1998-12,0.917,
1999-01,1.400,
1999-02,1.676,
1999-03,2.191,
1999-04,2.662,
1999-05,2.927,
1999-06,2.821,
1999-07,2.667,
1999-08,2.449,
1999-09,2.427,
1999-10,2.602,
1999-11,2.462,
1999-12,1.051,
2000-01,0.917,
2000-02,1.550,
2000-03,1.720,
2000-04,2.079,
2000-05,2.125,
2000-06,1.838,
2000-07,1.577,
2000-08,1.718,
2000-09,1.453,
2000-10,2.062,
2000-11,2.392,
2000-12,1.419,
2001-01,2.086,
2001-02,3.584,
2001-03,5.198,
2001-04,3.164,
2001-05,3.913,
2001-06,4.106,
2001-07,5.268,
2001-08,4.245,
2001-09,3.653,
2001-10,3.959,
2001-11,4.013,
2001-12,2.534,
2002-01,3.770,
2002-02,6.855,
2002-03,6.975,
2002-04,7.353,
2002-05,10.109,
2002-06,9.794,
2002-07,8.656,
2002-08,8.922,
2002-09,8.496,
2002-10,8.082,
2002-11,6.262,
2002-12,3.282,
2003-01,5.371,
2003-02,4.891,
2003-03,4.904,
2003-04,5.119,
2003-05,5.989,
2003-06,7.160,
2003-07,7.181,
2003-08,7.088,
2003-09,6.901,
2003-10,6.709,
2003-11,7.343,
2003-12,6.024,
2004-01,7.036,
2004-02,6.850,
2004-03,6.450,
2004-04,6.684,
2004-05,6.369,
2004-06,6.581,
2004-07,7.361,
2004-08,6.702,
2004-09,7.367,
2004-10,6.783,
2004-11,7.482,
