"",BBK01.OEXB21M,BBK01.OEXB21M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:53,
2002-01,0.123,
2002-04,0.187,
2002-07,0.107,
2002-10,0.102,
2003-01,0.140,
2003-04,0.122,
2003-07,0.091,
2003-10,0.064,
2004-01,0.100,
2004-04,0.098,
2004-07,0.076,
2004-10,0.122,
2005-01,0.088,
2005-04,0.160,
2005-07,0.157,
2005-10,0.166,
2006-01,0.176,
2006-04,0.133,
2006-07,0.119,
2006-10,0.137,
2007-01,0.141,
2007-04,0.133,
2007-07,0.104,
2007-10,0.119,
2008-01,0.092,
2008-04,0.141,
2008-07,0.082,
2008-10,0.071,
2009-01,0.055,
2009-04,0.053,
2009-07,0.053,
2009-10,0.047,
2010-01,0.099,
2010-04,0.086,
2010-07,0.089,
2010-10,0.083,
2011-01,0.945,
2011-04,0.952,
2011-07,0.940,
2011-10,0.733,
2012-01,0.740,
2012-04,0.794,
2012-07,0.789,
2012-10,0.645,
2013-01,1.024,
2013-04,0.993,
2013-07,0.853,
2013-10,0.851,
2014-01,0.863,
2014-04,0.941,
2014-07,0.801,
