"",BBSF2.M.1.S.I1251.GEM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.GEM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:30,
2009-09,25139,
2009-10,27443,
2009-11,27694,
2009-12,27807,
2010-01,27935,
2010-02,28363,
2010-03,29821,
2010-04,29921,
2010-05,30079,
2010-06,30313,
2010-07,31703,
2010-08,32728,
2010-09,32079,
2010-10,32483,
2010-11,31632,
2010-12,31332,
2011-01,32407,
2011-02,32656,
2011-03,32967,
2011-04,33346,
2011-05,33708,
2011-06,33480,
2011-07,33715,
2011-08,33309,
2011-09,33233,
2011-10,33359,
2011-11,34545,
2011-12,35686,
2012-01,32210,
2012-02,38684,
2012-03,39573,
2012-04,39520,
2012-05,39993,
2012-06,39895,
2012-07,40879,
2012-08,41411,
2012-09,41918,
2012-10,42727,
2012-11,43342,
2012-12,44109,
2013-01,43939,
2013-02,44457,
2013-03,45577,
2013-04,46527,
2013-05,46098,
2013-06,44905,
2013-07,45597,
2013-08,45406,
2013-09,46470,
2013-10,47253,
2013-11,47276,
2013-12,47294,
2014-01,47206,
2014-02,48299,
2014-03,49035,
2014-04,49187,
2014-05,49460,
2014-06,49272,
2014-07,51513,
2014-08,54753,
2014-09,54029,
2014-10,54213,
2014-11,55166,
