"",BBK01.OEXB10K,BBK01.OEXB10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:30,
2002-01,5.033,
2002-04,5.248,
2002-07,4.976,
2002-10,4.766,
2003-01,4.651,
2003-04,4.689,
2003-07,4.923,
2003-10,4.787,
2004-01,4.201,
2004-04,4.533,
2004-07,4.598,
2004-10,2.594,
2005-01,2.829,
2005-04,2.644,
2005-07,2.980,
2005-10,2.742,
2006-01,3.550,
2006-04,4.076,
2006-07,4.438,
2006-10,4.181,
2007-01,4.193,
2007-04,4.098,
2007-07,4.124,
2007-10,4.144,
2008-01,4.205,
2008-04,4.193,
2008-07,4.383,
2008-10,4.226,
2009-01,4.157,
2009-04,3.950,
2009-07,3.656,
2009-10,3.143,
2010-01,3.085,
2010-04,3.110,
2010-07,2.916,
2010-10,2.916,
2011-01,3.026,
2011-04,2.669,
2011-07,2.814,
2011-10,2.490,
2012-01,2.696,
2012-04,2.840,
2012-07,2.723,
2012-10,2.627,
2013-01,2.514,
2013-04,2.423,
2013-07,2.401,
2013-10,2.161,
2014-01,2.272,
2014-04,2.287,
2014-07,2.049,
