"",BBK01.OEAH85L,BBK01.OEAH85L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:33,
2002-01,133.655,
2002-04,122.462,
2002-07,118.600,
2002-10,100.093,
2003-01,124.204,
2003-04,115.249,
2003-07,124.883,
2003-10,111.039,
2004-01,133.138,
2004-04,119.448,
2004-07,143.234,
2004-10,134.973,
2005-01,149.937,
2005-04,145.776,
2005-07,152.997,
2005-10,140.215,
2006-01,146.705,
2006-04,149.053,
2006-07,159.452,
2006-10,155.005,
2007-01,151.588,
2007-04,173.545,
2007-07,150.598,
2007-10,142.037,
2008-01,164.954,
2008-04,140.991,
2008-07,145.527,
2008-10,117.629,
2009-01,114.437,
2009-04,104.410,
2009-07,96.378,
2009-10,88.532,
2010-01,85.793,
2010-04,92.731,
2010-07,93.619,
2010-10,82.264,
2011-01,80.306,
2011-04,89.446,
2011-07,93.014,
2011-10,83.111,
2012-01,90.506,
2012-04,83.296,
2012-07,90.745,
2012-10,90.518,
2013-01,99.708,
2013-04,113.317,
2013-07,106.609,
2013-10,118.650,
2014-01,106.431,
2014-04,103.700,
2014-07,113.284,
