"",BBK01.OECB19K,BBK01.OECB19K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:24,
2002-01,0.119,
2002-04,0.116,
2002-07,0.122,
2002-10,0.121,
2003-01,0.122,
2003-04,0.121,
2003-07,0.121,
2003-10,0.113,
2004-01,0.109,
2004-04,0.107,
2004-07,0.103,
2004-10,0.128,
2005-01,0.136,
2005-04,0.140,
2005-07,0.149,
2005-10,0.147,
2006-01,0.138,
2006-04,0.135,
2006-07,0.157,
2006-10,0.166,
2007-01,0.154,
2007-04,0.149,
2007-07,0.123,
2007-10,0.107,
2008-01,0.106,
2008-04,0.101,
2008-07,0.103,
2008-10,0.097,
2009-01,0.091,
2009-04,0.088,
2009-07,0.108,
2009-10,0.089,
2010-01,0.094,
2010-04,0.100,
2010-07,0.110,
2010-10,0.099,
2011-01,0.100,
2011-04,0.097,
2011-07,0.095,
2011-10,0.093,
2012-01,0.092,
2012-04,0.092,
2012-07,0.094,
2012-10,0.099,
2013-01,0.101,
2013-04,0.101,
2013-07,0.097,
2013-10,0.092,
2014-01,0.097,
2014-04,0.100,
2014-07,0.102,
