"",BBFN1.M.DE.N.1.A.AZ.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AZ.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:50,
1994-07,0.004,
1994-08,0.003,
1994-09,0.003,
1994-10,0.005,
1994-11,0.005,
1994-12,0.005,
1995-01,0.005,
1995-02,0.009,
1995-03,0.006,
1995-04,0.004,
1995-05,0.005,
1995-06,0.003,
1995-07,0.004,
1995-08,0.004,
1995-09,0.008,
1995-10,0.004,
1995-11,0.007,
1995-12,0.008,
1996-01,0.006,
1996-02,0.008,
1996-03,0.007,
1996-04,0.007,
1996-05,0.006,
1996-06,0.016,
1996-07,0.017,
1996-08,0.017,
1996-09,0.010,
1996-10,0.005,
1996-11,0.007,
1996-12,0.007,
1997-01,0.005,
1997-02,0.006,
1997-03,0.007,
1997-04,0.006,
1997-05,0.005,
1997-06,0.006,
1997-07,0.007,
1997-08,0.007,
1997-09,0.009,
1997-10,0.008,
1997-11,0.010,
1997-12,0.004,
1998-01,0.008,
1998-02,0.009,
1998-03,0.011,
1998-04,0.006,
1998-05,0.007,
1998-06,0.008,
1998-07,0.008,
1998-08,0.009,
1998-09,0.007,
1998-10,0.006,
1998-11,0.007,
1998-12,0.007,
1999-01,0.008,
1999-02,0.009,
1999-03,0.008,
1999-04,0.008,
1999-05,0.008,
1999-06,0.006,
1999-07,0.004,
1999-08,0.004,
1999-09,0.005,
1999-10,0.006,
1999-11,0.007,
1999-12,0.006,
2000-01,0.005,
2000-02,0.007,
2000-03,0.010,
2000-04,0.009,
2000-05,0.007,
2000-06,0.008,
2000-07,0.008,
2000-08,0.008,
2000-09,0.016,
2000-10,0.019,
2000-11,0.012,
2000-12,0.015,
2001-01,0.014,
2001-02,0.012,
2001-03,0.012,
2001-04,0.014,
2001-05,0.014,
2001-06,0.015,
2001-07,0.016,
2001-08,0.016,
2001-09,0.017,
2001-10,0.020,
2001-11,0.020,
2001-12,0.020,
2002-01,0.019,
2002-02,0.020,
2002-03,0.019,
2002-04,0.022,
2002-05,0.021,
2002-06,0.021,
2002-07,0.021,
2002-08,0.022,
2002-09,0.015,
2002-10,0.015,
2002-11,0.017,
2002-12,0.016,
2003-01,0.015,
2003-02,0.018,
2003-03,0.018,
2003-04,0.019,
2003-05,0.019,
2003-06,0.017,
2003-07,0.018,
2003-08,0.021,
2003-09,0.017,
2003-10,0.027,
2003-11,0.019,
2003-12,0.018,
2004-01,0.022,
2004-02,0.021,
2004-03,0.023,
2004-04,0.023,
2004-05,0.026,
2004-06,0.020,
2004-07,0.018,
2004-08,0.019,
2004-09,0.022,
2004-10,0.022,
2004-11,0.024,
2004-12,0.027,
2005-01,0.026,
2005-02,0.028,
2005-03,0.032,
2005-04,0.033,
2005-05,0.032,
2005-06,0.035,
2005-07,0.038,
2005-08,0.034,
2005-09,0.032,
2005-10,0.036,
2005-11,0.038,
2005-12,0.038,
2006-01,0.035,
2006-02,0.043,
2006-03,0.041,
2006-04,0.047,
2006-05,0.047,
2006-06,0.045,
2006-07,0.048,
2006-08,0.053,
2006-09,0.052,
2006-10,0.051,
2006-11,0.052,
2006-12,0.049,
2007-01,0.053,
2007-02,0.061,
2007-03,0.063,
2007-04,0.067,
2007-05,0.058,
2007-06,0.057,
2007-07,0.055,
2007-08,0.054,
2007-09,0.061,
2007-10,0.063,
2007-11,0.060,
2007-12,0.057,
2008-01,0.063,
2008-02,0.050,
2008-03,0.049,
2008-04,0.050,
2008-05,0.057,
2008-06,0.058,
2008-07,0.060,
2008-08,0.058,
2008-09,0.055,
2008-10,0.046,
2008-11,0.049,
2008-12,0.047,
2009-01,0.050,
2009-02,0.074,
2009-03,0.051,
2009-04,0.058,
2009-05,0.052,
2009-06,0.057,
2009-07,0.050,
2009-08,0.051,
2009-09,0.068,
2009-10,0.064,
2009-11,0.055,
2009-12,0.054,
2010-01,0.055,
2010-02,0.054,
2010-03,0.061,
2010-04,0.059,
2010-05,0.065,
2010-06,0.067,
2010-07,0.068,
2010-08,0.061,
2010-09,0.062,
2010-10,0.063,
2010-11,0.070,
2010-12,0.069,
2011-01,0.083,
2011-02,0.086,
2011-03,0.079,
2011-04,0.079,
2011-05,0.079,
2011-06,0.079,
2011-07,0.048,
2011-08,0.056,
2011-09,0.058,
2011-10,0.060,
2011-11,0.054,
2011-12,0.047,
2012-01,0.057,
2012-02,0.063,
2012-03,0.063,
2012-04,0.059,
2012-05,0.059,
2012-06,0.065,
2012-07,0.069,
2012-08,0.071,
2012-09,0.079,
2012-10,0.075,
2012-11,0.077,
2012-12,0.067,
2013-01,0.067,
2013-02,0.081,
2013-03,0.081,
2013-04,0.086,
2013-05,0.082,
2013-06,0.082,
2013-07,0.076,
2013-08,0.092,
2013-09,0.077,
2013-10,0.066,
2013-11,0.066,
2013-12,0.066,
2014-01,0.064,
2014-02,0.071,
2014-03,0.070,
2014-04,0.071,
2014-05,0.074,
2014-06,0.075,
2014-07,0.082,
2014-08,0.084,
2014-09,0.080,
2014-10,0.077,
2014-11,0.090,
2014-12,0.078,
