"",BBSF2.M.1.T.00000.DSO01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.DSO01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Funds total / Funds-of-funds: Other funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:01,
2009-09,10,
2009-10,11,
2009-11,13,
2009-12,-,Nothing exists
2010-01,1,
2010-02,2,
2010-03,2,
2010-04,2,
2010-05,2,
2010-06,2,
2010-07,2,
2010-08,2,
2010-09,2,
2010-10,2,
2010-11,2,
2010-12,2,
2011-01,3,
2011-02,3,
2011-03,3,
2011-04,3,
2011-05,4,
2011-06,3,
2011-07,3,
2011-08,3,
2011-09,3,
2011-10,3,
2011-11,5,
2011-12,3,
2012-01,3,
2012-02,4,
2012-03,4,
2012-04,3,
2012-05,2,
2012-06,2,
2012-07,4,
2012-08,3,
2012-09,16,
2012-10,16,
2012-11,18,
2012-12,19,
2013-01,25,
2013-02,32,
2013-03,32,
2013-04,33,
2013-05,29,
2013-06,13,
2013-07,22,
2013-08,26,
2013-09,95,
2013-10,110,
2013-11,118,
2013-12,117,
2014-01,81,
2014-02,40,
2014-03,53,
2014-04,39,
2014-05,39,
2014-06,38,
2014-07,38,
2014-08,33,
2014-09,33,
2014-10,34,
2014-11,34,
